Company,Website,Industry,HQ,Employees,Revenue_Cr,Logistics_Spend_Cr,Tier,Account_Type,Key_Locations
"Polyplex Corporation",,"Chemical","Delhi",2500,5500,120,Tier1,Penetration,"Khatima (UK), Thailand, Turkey"
"GHCL Ltd",,"Chemical","Noida",2200,4500,120,Tier1,Penetration,"Sutrapada (GJ), Chennai"
"BPCL (Bitumen)",,"Other","Mumbai",3000,8000,118,Tier1,Expansion,"Mumbai, Kochi, Bina, Numaligarh"
"DHL Supply Chain",,"Other","",5000,4000,117,Tier1,Expansion,"Pan-India"
"PNC Infratech",,"Other","Agra",4000,5000,117,Tier1,Penetration,"North India projects"
"Kalamboli Scrap Market",,"Steel & Metals","Mumbai",6000,5000,115,Tier1,Penetration,"Navi Mumbai"
"Solvent Extractors Assn",,"Chemical","",8000,15000,115,Tier1,Penetration,"Gujarat, Maharashtra"
"Ashoka Buildcon",,"Other","Nashik",4500,5000,115,Tier1,Penetration,"Pan-India projects"
"UltraTech (Captive)",,"Other","Mumbai",5000,,115,Tier1,Penetration,"Rajasthan, Gujarat, AP, MP"
"Vardhman Textiles",,"Chemical","Ludhiana",20000,8500,115,Tier1,Expansion,"Ludhiana (PB), Baddi (HP), Nalagarh"
"KEI Industries",,"Auto & Engineering","Delhi",4000,8500,115,Tier1,Expansion,"Bhiwadi (RJ), Pathredi, Chopanki, Vadodara, Silvassa"
"SAIL (Semis)",,"Steel & Metals","Delhi",12000,25000,115,Tier1,Expansion,"Bhilai (CG), Bokaro (JH), Durgapur (WB), Rourkela (OD)"
"Inox Wind",,"Other","Noida",2500,3500,115,Tier1,Expansion,"Una (GJ), Barwani (MP), Madhya Pradesh"
"Nagarjuna Fertilisers",,"Chemical","Hyderabad",3000,6500,112,Tier1,Expansion,"Kakinada (AP), Hyderabad (TS)"
"Hindalco (Coal)",,"Other","Mumbai",5000,20000,112,Tier1,Expansion,"Renukoot (UP), Hirakud (OD)"
"Divis Labs (export)",,"FMCG","Hyderabad",16000,9500,112,Tier1,Penetration,"Vizag (AP), Kakinada (AP)"
"Mondelez India",,"FMCG","Mumbai",4000,10000,112,Tier1,Penetration,"Baddi (HP), Sri City (AP), Induri (MH)"
"Sharda Cropchem",,"Chemical","Mumbai",600,3800,112,Tier1,Expansion,"Vapi (GJ), Panoli (GJ)"
"Mercedes-Benz India",,"Auto & Engineering","Pune",3000,25000,110,Tier1,Penetration,"Chakan (MH)"
"MRPL (Refinery)",,"Other","Mangalore",3000,90000,110,Tier1,Penetration,"Mangalore (KA)"
"Wipro Consumer",,"FMCG","Bangalore",2500,3500,110,Tier1,Penetration,"Bangalore, Baddi, Hyderabad"
"SSLT (Sesa Sterlite)",,"Other","Mumbai",2000,6000,110,Tier1,Penetration,"Goa, Karnataka"
"HG Infra",,"Other","Jaipur",3500,4500,108,Tier1,Penetration,"North India projects"
"Amara Raja Energy",,"Other","Tirupati",2000,3500,108,Tier1,Penetration,"Tirupati (AP), Chittoor (AP)"
"JSPL (TMT)",,"Steel & Metals","Delhi",6000,18000,107,Tier1,Expansion,"Raigarh (CG), Angul (OD)"
"Singareni Collieries",,"Other","Hyderabad",45000,28000,107,Tier1,Penetration,"Kothagudem (TS)"
"SRF Ltd (Tech Textiles)",,"Chemical","Gurugram",5000,8000,107,Tier1,Expansion,"Gummidipoondi (TN), Manali, Bhiwadi"
"BASF Agri (India)",,"Chemical","Mumbai",1200,3500,107,Tier1,Penetration,"Thane (MH), Mangalore (KA)"
"Vestas India",,"Auto & Engineering","Denmark",3000,4000,107,Tier1,Penetration,"Chennai (TN)"
"Uflex Ltd",,"Chemical","Noida",8000,8000,107,Tier1,Penetration,"Noida (UP), Jammu, Dubai"
"RINL (Vizag Steel)",,"Steel & Metals","Vizag",16000,25000,107,Tier1,Penetration,"Visakhapatnam (AP)"
"Vestas India",,"Other","Chennai",1500,3000,105,Tier1,Penetration,"Chennai (TN)"
"DMRC (Procurement)",,"Steel & Metals","Delhi",5000,10000,105,Tier1,Penetration,"Delhi projects"
"IMFA",,"Steel & Metals","Bhubaneswar",3500,4500,105,Tier1,Penetration,"Therubali (OD), Choudwar (OD)"
"Essar Oil (Nayara)",,"Other","Mumbai",3000,100000,105,Tier1,Expansion,"Vadinar (GJ)"
"Divi's Labs",,"FMCG","Hyderabad",16000,9500,105,Tier1,Expansion,"Visakhapatnam (AP), Kakinada (AP)"
"IOCL (Pipelines)",,"Steel & Metals","Delhi",,,105,Tier1,Penetration,"Pan-India pipelines"
"Piramal Pharma",,"FMCG","Mumbai",10000,8000,105,Tier1,Penetration,"Ahmedabad (GJ), Digwal (TS), UK, USA"
"Adani Transmission",,"Auto & Engineering","Ahmedabad",,,105,Tier1,Penetration,"Pan-India projects"
"BSNL (Fiber)",,"Auto & Engineering","Delhi",,,105,Tier1,Penetration,"Pan-India"
"IPCA Labs",,"FMCG","Mumbai",12000,8500,104,Tier1,Penetration,"Ratlam (MP), Pithampur (MP), Silvassa"
"IFB Industries",,"FMCG","Kolkata",3500,3800,104,Tier1,Penetration,"Verna (GA), Kolkata (WB)"
"Realme India",,"FMCG","Noida",1500,8000,104,Tier1,Penetration,"Greater Noida (UP)"
"Sutlej Textiles",,"FMCG","Ludhiana",8000,3500,103,Tier1,Penetration,"Bhawanimandi (RJ), Damtal (HP), Kathua (J&K)"
"ReNew Power",,"Auto & Engineering","Gurugram",3000,6000,103,Tier1,Penetration,"Pan-India"
"Finolex Industries",,"Chemical","Pune",2800,4800,102,Tier1,Expansion,"Ratnagiri (MH), Pune"
"V-Guard Industries",,"Steel & Metals","Kochi",3000,5000,102,Tier1,Penetration,"Coimbatore (TN), Kashipur (UK)"
"Jindal Poly Films",,"Chemical","Mumbai",2200,4800,102,Tier1,Penetration,"Nashik (MH), Silvassa"
"Allcargo Logistics",,"Other","Mumbai",5000,3500,100,Tier1,Expansion,"Pan-India"
"UltraTech Cement",,"Cement","Mumbai",20000,,100,Tier1,Penetration,"Pan-India"
"Blinkit (Fresh)",,"Agri & Food","Gurugram",5000,1500,100,Tier1,Penetration,"All metros"
"Finolex Cables",,"Steel & Metals","Pune",3000,5200,100,Tier1,Penetration,"Pune (MH), Roorkee (UK)"
"Adani Logistics",,"Other","Ahmedabad",3500,3000,100,Tier1,Penetration,"Pan-India"
"SAIL (Pig Iron)",,"Steel & Metals","Delhi",5000,5000,100,Tier1,Penetration,"Bhilai, Bokaro, Rourkela, Burnpur, Durgapur"
"Country Delight",,"Agri & Food","Gurugram",4000,1800,100,Tier1,Penetration,"Delhi, Mumbai, Bangalore"
"XpressBees",,"Other","Pune",20000,3000,100,Tier1,Penetration,"Pan-India"
"Jindal Aluminium",,"Steel & Metals","Bangalore",2500,4500,100,Tier1,Expansion,"Bangalore (KA)"
"Sadbhav Engineering",,"Other","Ahmedabad",3000,4000,98,Tier2,Penetration,"Pan-India projects"
"CPCL (Refinery)",,"Other","Chennai",2500,65000,98,Tier1,Penetration,"Chennai, Nagapattinam"
"KNR Constructions",,"Other","Hyderabad",3000,4000,98,Tier2,Penetration,"South India projects"
"J Kumar Infraprojects",,"Other","Mumbai",3500,4000,98,Tier2,Penetration,"West India projects"
"Petronet LNG",,"Other","Delhi",1200,50000,98,Tier1,Penetration,"Dahej (GJ), Kochi (KL)"
"Goldi Solar",,"Other","Surat",1500,3000,98,Tier2,Penetration,"Surat (GJ), Sanathal (GJ)"
"Jinko Solar (India)",,"Other","",500,3000,98,Tier2,Penetration,"Gujarat (Planned)"
"BHEL (Rail)",,"Steel & Metals","Delhi",8000,5000,98,Tier1,Expansion,"Haridwar (UK), Jhansi (UP), Bhopal"
"ABB India",,"Auto & Engineering","Bangalore",5000,12000,97,Tier1,Expansion,"Vadodara (GJ), Bangalore, Nashik"
"JCB India",,"Auto & Engineering","Ballabgarh",4000,5000,97,Tier1,Penetration,"Ballabgarh (HR), Pune (MH)"
"CG Power & Industrial",,"Auto & Engineering","Mumbai",8000,6000,97,Tier1,Penetration,"Nashik (MH), Bhopal (MP), Goa"
"Corteva Agriscience",,"Chemical","Hyderabad",1500,3200,96,Tier2,Penetration,"Hyderabad (TS)"
"PepsiCo (Frito-Lay)",,"FMCG","Gurugram",4000,8000,96,Tier1,Expansion,"Kolkata, Pune, Channo (PB), Nelamangala (KA)"
"Lux Industries",,"FMCG","Kolkata",10000,3000,95,Tier2,Penetration,"Kolkata (WB), Tirupur (TN), Ludhiana"
"Orient Craft",,"FMCG","Gurugram",30000,3000,95,Tier2,Penetration,"Gurugram (HR), Noida (UP), Faridabad"
"RSWM (LNJ Bhilwara)",,"FMCG","Bhilwara",8000,3000,95,Tier2,Penetration,"Bhilwara (RJ), Banswara (RJ), MP"
"Himatsingka Seide",,"FMCG","Bangalore",10000,3200,95,Tier2,Penetration,"Hassan (KA), Bangalore, USA"
"Adani-Valor (Indorama)",,"Chemical","Ahmedabad",1200,4500,95,Tier2,Penetration,"Dahej (GJ)"
"Hitachi India",,"FMCG","Delhi",1500,3500,95,Tier2,Penetration,"Ahmedabad (GJ)"
"Time Technoplast",,"Chemical","Mumbai",3500,4500,95,Tier2,Penetration,"Pan-India"
"Linde India",,"Chemical","Kolkata",2500,3200,95,Tier2,Expansion,"Pan-India (Jamshedpur, Taloja, Bellary, Hazira, Chennai)"
"PG Electroplast",,"FMCG","Greater Noida",4000,3500,95,Tier2,Penetration,"Greater Noida (UP), Supa (MH), Roorkee (UK)"
"SAIL (Rail Mill)",,"Steel & Metals","Delhi",5000,8000,95,Tier1,Expansion,"Bhilai (CG), Burnpur (WB), ISP (JH)"
"Perfetti Van Melle",,"FMCG","",3500,3000,94,Tier2,Penetration,"Rudrapur (UK), Chennai, Manesar"
"Jyothy Labs",,"FMCG","Mumbai",4000,2800,94,Tier2,Penetration,"Baddi (HP), Pithampur (MP), Guwahati"
"MG Motor India",,"Auto & Engineering","Gurugram",2500,8000,93,Tier1,Expansion,"Halol (GJ)"
"Neyveli Lignite",,"Other","Chennai",18000,12000,92,Tier1,Penetration,"Neyveli (TN), Rajasthan, Gujarat"
"HPCL (Bitumen)",,"Other","Mumbai",2500,6000,92,Tier1,Expansion,"Vizag, Mumbai, Bathinda, Rajasthan"
"Fertilizer Companies",,"Chemical","",,,92,Tier2,Penetration,"Pan-India"
"SAIL (Captive Mines)",,"Other","Delhi",5000,,92,Tier2,Penetration,"Jharkhand, Odisha, MP"
"SFCL (State Farms)",,"FMCG","Delhi",5000,3000,91,Tier2,Penetration,"Pan-India"
"Bhushan Steel (Tata)",,"Steel & Metals","Kolkata",8000,20000,91,Tier1,Expansion,"Angul (OD), Khopoli (MH)"
"Vishal Mega Mart",,"FMCG","Kolkata",5000,3000,91,Tier2,Penetration,"North/East India"
"Rashtriya Ispat Nigam",,"Steel & Metals","Vizag",15000,22000,91,Tier1,Penetration,"Visakhapatnam (AP)"
"Allana Group",,"FMCG","Mumbai",2000,5000,91,Tier1,Penetration,"Mumbai, Kakinada, Mangalore"
"Aavin (TN)",,"FMCG","Chennai",5000,12000,91,Tier1,Penetration,"Chennai, Madurai, Erode, Salem"
"Rain Industries",,"Chemical","Hyderabad",4000,8000,91,Tier1,Expansion,"Visakhapatnam (AP), Kurnool (AP), Belgium, USA"
"VRL Logistics",,"Other","Hubli",15000,2500,91,Tier2,Expansion,"Pan-India"
"Astral Ltd",,"Cement","Ahmedabad",4000,5500,91,Tier1,Expansion,"Santej (GJ), Hosur (TN), Dholka, Ghiloth, Sanand"
"Sterlite Technologies",,"Auto & Engineering","Pune",4000,6500,91,Tier1,Expansion,"Aurangabad (MH), Silvassa, Haridwar"
"BPCL (Lubes)",,"Other","Mumbai",1500,6000,91,Tier1,Expansion,"Mumbai, Kochi, Kolkata, Chennai"
"Trident Ltd",,"Chemical","Ludhiana",15000,6000,91,Tier1,Penetration,"Barnala (PB), Budni (MP), Dhaula"
"UltraTech RMC",,"Cement","Mumbai",2500,4000,91,Tier2,Penetration,"Pan-India"
"DCM Shriram (Agri)",,"FMCG","Delhi",2000,3000,91,Tier2,Penetration,"Kota (RJ), Hyderabad, Delhi"
"Indo Rama Synthetics",,"Chemical","Gurugram",5000,6000,91,Tier1,Expansion,"Butibori (MH), Pithampur (MP), Gujarat"
"TVS Supply Chain",,"Other","Chennai",2500,3000,91,Tier2,Expansion,"Pan-India"
"UltraTech (Pet Coke)",,"Other","Mumbai",3000,15000,90,Tier1,Expansion,"Pan-India"
"MSTC Ltd",,"Steel & Metals","Kolkata",1500,8000,90,Tier1,Penetration,"Pan-India"
"India Post (Speed Post)",,"Other","Delhi",500000,5000,90,Tier1,Penetration,"Pan-India"
"Renault-Nissan",,"Auto & Engineering","Chennai",8000,8500,90,Tier1,Penetration,"Oragadam (TN)"
"ONGC (Pipes)",,"Steel & Metals","Delhi",,,90,Tier2,Penetration,"Offshore/Onshore"
"Metro Rail Projects",,"Cement","",,,90,Tier2,Penetration,"Metro cities"
"Central Coalfields",,"Other","Ranchi",35000,22000,90,Tier1,Penetration,"Ranchi, Hazaribagh (JH)"
"Blue Dart (DHL)",,"Other","Mumbai",12000,5000,90,Tier1,Penetration,"Pan-India"
"Airtel (Fiber)",,"Auto & Engineering","Delhi",,,90,Tier2,Penetration,"Pan-India"
"L&T (Buyer)",,"Steel & Metals","Mumbai",,,90,Tier2,Penetration,"Pan-India projects"
"Sonalika Tractors",,"Auto & Engineering","Hoshiarpur",4500,8000,88,Tier1,Expansion,"Hoshiarpur (PB)"
"APL Apollo Tubes",,"Steel & Metals","Delhi",5000,18000,88,Tier1,Expansion,"Raipur (CG), Hosur (TN), Sikandrabad (UP), Murbad (MH), Dubai"
"Prism Johnson (Ready-Mix)",,"Cement","Delhi",3000,4500,88,Tier2,Expansion,"Pan-India"
"Haldiram's",,"FMCG","Nagpur",5000,8000,88,Tier1,Expansion,"Nagpur, Delhi, Kolkata, Noida, Gurgaon"
"Integral Coach Factory",,"Steel & Metals","Chennai",10000,4000,87,Tier2,Penetration,"Chennai (TN)"
"Piramal Glass",,"Cement","Mumbai",4000,2800,87,Tier2,Expansion,"Kosamba (GJ), Jambusar (GJ), USA, Sri Lanka"
"Hetero Drugs",,"FMCG","Hyderabad",12000,7000,87,Tier1,Penetration,"Hyderabad (TS), Baddi, Vizag"
"Beml Ltd",,"Auto & Engineering","Bangalore",10000,4500,87,Tier2,Penetration,"Bangalore (KA), Mysore, Kolar"
"Hitachi Energy",,"Auto & Engineering","Zurich",3500,5000,87,Tier1,Penetration,"Vadodara (GJ), Bangalore"
"Inox Wind",,"Auto & Engineering","Ahmedabad",2000,2500,87,Tier2,Penetration,"Ahmedabad (GJ), Rajasthan"
"Abbott India",,"FMCG","Mumbai",4500,6500,87,Tier1,Penetration,"Jhagadia (GJ), Goa, Baddi"
"Jubilant Pharmova",,"FMCG","Noida",8000,6500,87,Tier1,Penetration,"Nanjangud (KA), Roorkee (UK), Noida"
"Zuari Agro Chemicals",,"Chemical","Delhi",1800,4500,86,Tier2,Penetration,"Goa, Gurugram"
"Nahar Spinning",,"FMCG","Ludhiana",7000,2800,86,Tier2,Penetration,"Ludhiana (PB), Lalru (PB), Baddi"
"IOL Chemicals",,"Chemical","Ludhiana",1500,2800,86,Tier2,Penetration,"Barnala (PB), Ludhiana (PB)"
"FMC India",,"Chemical","Delhi",1000,2800,86,Tier2,Penetration,"Panoli (GJ), Jambusar (GJ)"
"Gokaldas Exports",,"FMCG","Bangalore",50000,2500,86,Tier2,Expansion,"Bangalore (KA), Hassan (KA), Mysore (KA), Chennai"
"TTK Prestige",,"FMCG","Bangalore",3500,3000,86,Tier2,Penetration,"Hosur (TN), Roorkee (UK), Karjan (GJ)"
"Gayatri Projects",,"Other","Hyderabad",3000,3500,86,Tier2,Penetration,"Pan-India projects"
"INOX Air Products",,"Chemical","Mumbai",2000,2800,86,Tier2,Expansion,"Pan-India (Taloja, Dahej, Mundra, Bellary, Chennai)"
"MMRCL",,"Steel & Metals","Mumbai",3000,8000,85,Tier1,Penetration,"Mumbai projects"
"Birla Opus (Grasim)",,"Chemical","Mumbai",3000,2500,85,Tier2,Expansion,"Panipat (HR), Ludhiana (PB), Cheyyar (TN), Chamarajanagar (KA), Mahad (MH), Jejuri (MH)"
"Rungta Mines",,"Other","Kolkata",3000,4500,85,Tier2,Penetration,"Odisha (Barbil, Joda)"
"IKEA India",,"Cement","Bangalore",5000,3000,85,Tier2,Penetration,"Hyderabad, Mumbai, Bangalore, Delhi"
"Petrofac India",,"Other","",2000,8000,85,Tier1,Penetration,"Pan-India"
"Gujarat Gas",,"Other","Ahmedabad",3000,20000,85,Tier1,Penetration,"Gujarat"
"Raipur Re-rollers",,"Steel & Metals","Raipur",8000,15000,85,Tier1,Expansion,"Raipur belt (CG)"
"Reliance (Chemicals)",,"Chemical","Mumbai",3000,8000,83,Tier1,Penetration,"Jamnagar (GJ), Dahej"
"SAIL (Wire Rod)",,"Steel & Metals","Delhi",2000,3000,83,Tier2,Penetration,"Bhilai (CG), Bokaro (JH), Durgapur (WB)"
"Novelis India",,"Steel & Metals","Atlanta",1200,3500,83,Tier2,Expansion,"Hirakud (OD)"
"Indorama (Petrochem)",,"Chemical","Thailand",2000,5000,83,Tier1,Penetration,"Tuticorin (TN), Haldia (WB)"
"TCI Freight",,"Other","Gurugram",4000,2500,83,Tier2,Expansion,"Pan-India"
"K.P.R. Mill",,"Chemical","Coimbatore",25000,5500,83,Tier1,Penetration,"Coimbatore (TN), Tirupur, Sathyamangalam"
"Century Plyboards",,"Cement","Kolkata",5000,4000,83,Tier2,Expansion,"Joka (WB), Hoshiarpur (PB), Yamuna Nagar"
"Sonalika Tractors",,"Auto & Engineering","Hoshiarpur",4500,8000,83,Tier1,Penetration,"Hoshiarpur (PB)"
"Ecom Express",,"Other","Delhi",15000,2500,83,Tier2,Penetration,"Pan-India"
"Hatsun Agro",,"FMCG","Chennai",4000,8500,83,Tier1,Expansion,"Chennai (TN), Madurai, Belgaum (KA), Hyderabad"
"Acme Solar",,"Other","Gurugram",1000,3000,83,Tier2,Penetration,"Rajasthan"
"Ramagundam Fertilizers",,"Chemical","Hyderabad",1000,4500,83,Tier2,Penetration,"Ramagundam (TS)"
"Kuehne+Nagel",,"Other","",2000,2500,83,Tier2,Penetration,"Pan-India"
"AM/NS India (Plates)",,"Steel & Metals","Mumbai",5000,18000,83,Tier1,Expansion,"Hazira (GJ)"
"DeHaat",,"Agri & Food","Patna",3000,1500,83,Tier2,Penetration,"Bihar, UP, Jharkhand, Odisha"
"Rain Industries",,"Other","Hyderabad",3000,8000,83,Tier1,Expansion,"Visakhapatnam (AP), Kurnool (AP)"
"V-Guard Industries",,"Auto & Engineering","Kochi",2500,5500,82,Tier1,Expansion,"Coimbatore (TN), Kashipur (UK), Sikkim"
"Siyaram Silk",,"FMCG","Mumbai",5000,2500,82,Tier2,Penetration,"Tarapur (MH), Silvassa"
"Bata India",,"Chemical","Kolkata",10000,3200,82,Tier2,Penetration,"Batanagar (WB), Faridabad, Hosur"
"HPCL (Lubes)",,"Other","Mumbai",1200,5000,82,Tier1,Expansion,"Mumbai, Vizag, Kolkata, Chennai"
"Caterpillar India",,"Auto & Engineering","Chennai",3000,4000,81,Tier2,Penetration,"Thiruvallur (TN), Hosur"
"Bayer CropScience (Seeds)",,"Agri & Food","Mumbai",3000,8000,81,Tier1,Expansion,"Hyderabad (TS), Bangalore, Aurangabad, Udaipur"
"Cargill India (Feed)",,"Agri & Food","Gurugram",2500,6000,81,Tier1,Expansion,"Hyderabad, Coimbatore, Hajipur, Hoshiarpur"
"ReNew Power",,"Other","Gurugram",3500,9500,80,Tier1,Expansion,"Pan-India sites"
"ACC/Ambuja (Captive)",,"Other","Mumbai",3000,,80,Tier2,Penetration,"Gujarat, MH, HP, MP"
"Flipkart (Walmart)",,"Other","Bangalore",50000,120000,80,Tier1,Expansion,"Bangalore, Delhi, Hyderabad, Kolkata, Chennai, Mumbai"
"Balkrishna (BKT)",,"Auto & Engineering","Mumbai",,10000,80,Tier1,Expansion,"Bhuj, Chopanki, Aurangabad, Waluj"
"Sterlite Grid",,"Auto & Engineering","Delhi",,,80,Tier2,Penetration,"Pan-India projects"
"Jodhpur Furniture Assn",,"Cement","Jodhpur",15000,3000,80,Tier2,Penetration,"Jodhpur (RJ)"
"Finolex Cables",,"Auto & Engineering","Pune",3000,5000,79,Tier1,Expansion,"Pune (MH), Goa, Roorkee"
"RenewSys",,"Other","Hyderabad",1500,2500,79,Tier2,Expansion,"Bengaluru (KA), Hyderabad (TS)"
"MDH Spices",,"FMCG","Delhi",4000,2500,79,Tier2,Penetration,"Delhi, Gurgaon, Nagpur, Dubai"
"Lodha Group",,"Cement","Mumbai",,,78,Tier2,Penetration,"Mumbai projects"
"Longi Green (India)",,"Other","",300,5000,78,Tier1,Penetration,"Import/Planned"
"Tata Hitachi",,"Auto & Engineering","Mumbai",3500,4000,78,Tier2,Penetration,"Kharagpur (WB), Dharwad (KA)"
"Bombay Dyeing",,"FMCG","Mumbai",4000,2500,77,Tier2,Expansion,"Mumbai (MH), Ranjangaon (MH)"
"Himadri Speciality",,"Chemical","Kolkata",1800,2500,77,Tier2,Penetration,"Mahistikry (WB), Visakhapatnam (AP)"
"Kiri Industries",,"Chemical","Ahmedabad",1800,2400,77,Tier2,Penetration,"Vadodara (GJ), Ahmedabad"
"Syrma SGS",,"FMCG","Chennai",3000,2800,77,Tier2,Penetration,"Chennai (TN), Bhiwadi (RJ), Gurugram"
"Nilkamal Ltd",,"Chemical","Mumbai",4000,3200,77,Tier2,Penetration,"Sinnar (MH), Hosur (TN), Samba (J&K)"
"SABIC India",,"Chemical","Riyadh",800,3500,77,Tier2,Penetration,"Chennai, Vadodara"
"Cosmo Films",,"Chemical","Delhi",1800,3500,77,Tier2,Penetration,"Aurangabad (MH), Waluj (MH), Korea"
"Prince Pipes",,"Chemical","Mumbai",2500,3200,77,Tier2,Penetration,"Jaipur (RJ), Haridwar (UK), Chennai"
"Lotte Chemical (ex-LG)",,"Chemical","Vizag",800,3500,77,Tier2,Penetration,"Vizag (AP)"
"Mangalore Chemicals",,"Chemical","Mangalore",1200,4200,77,Tier2,Penetration,"Mangalore (KA)"
"Matix Fertilisers",,"Chemical","Kolkata",1200,4000,77,Tier2,Penetration,"Panagarh (WB)"
"PPG Asian Paints",,"Chemical","Chennai",800,2500,77,Tier2,Expansion,"Gujarat, Chennai"
"HNG Industries (Float)",,"Cement","Delhi",2000,2500,77,Tier2,Expansion,"Bahadurgarh (HR), Halol (GJ)"
"Praxair India (Linde)",,"Chemical","Mumbai",1800,2500,77,Tier2,Expansion,"Pan-India"
"Titagarh Rail",,"Steel & Metals","Kolkata",5000,4000,77,Tier2,Expansion,"Titagarh (WB), Uttarpara, Latur"
"Laurus Labs",,"FMCG","Hyderabad",10000,6500,77,Tier1,Expansion,"Visakhapatnam (AP), Parawada (AP)"
"Envision Energy",,"Other","Beijing",800,2000,76,Tier2,Penetration,"Gujarat"
"Yamaha India",,"Auto & Engineering","Chennai",3800,7000,76,Tier1,Penetration,"Chennai (TN), Surajpur (UP), Kancheepuram"
"DSM-Firmenich",,"FMCG","Mumbai",2000,3500,76,Tier2,Penetration,"Thane (MH), Dehradun, Bangalore"
"Mars India",,"FMCG","Mumbai",1500,2500,76,Tier2,Penetration,"Bhiwandi (MH), Bangalore"
"Talcher Fertilizers",,"Chemical","Bhubaneswar",800,4000,76,Tier2,Penetration,"Talcher (OD)"
"AM/NS India (Longs)",,"Steel & Metals","Mumbai",3000,12000,75,Tier1,Penetration,"Hazira (GJ)"
"HPCL (Pipelines)",,"Steel & Metals","Mumbai",,,75,Tier2,Penetration,"Pan-India pipelines"
"POSCO India",,"Steel & Metals","Seoul",2000,15000,75,Tier1,Penetration,"Proposed Odisha"
"SKM Egg Products",,"Agri & Food","Erode",2000,1500,75,Tier2,Penetration,"Erode (TN), Namakkal (TN)"
"AM/NS India (Slabs)",,"Steel & Metals","Mumbai",4000,15000,75,Tier1,Penetration,"Hazira (GJ)"
"Tata Projects",,"Steel & Metals","Mumbai",,,75,Tier2,Penetration,"Pan-India projects"
"L&T (Buyer)",,"Cement","Mumbai",,,75,Tier2,Penetration,"Pan-India"
"Oriental Structural",,"Other","Delhi",2500,3000,75,Tier2,Penetration,"Pan-India projects"
"Zepto (Fresh)",,"Agri & Food","Mumbai",3000,1000,75,Tier2,Penetration,"All metros"
"BEML (Rail)",,"Steel & Metals","Bangalore",5000,3500,75,Tier2,Penetration,"Bangalore (KA), Palakkad (KL)"
"WayCool",,"Agri & Food","Chennai",2500,1200,75,Tier2,Penetration,"Chennai, Bangalore, Hyderabad"
"Godrej Tyson",,"Agri & Food","Bangalore",2000,1200,75,Tier2,Penetration,"Bangalore (KA), Hyderabad (TS)"
"JSPL (Plates)",,"Steel & Metals","Delhi",5000,15000,74,Tier1,Expansion,"Angul (OD), Raigarh (CG), Patratu (JH)"
"Gati Ltd",,"Other","Hyderabad",3500,2000,73,Tier2,Expansion,"Pan-India"
"Polyplex Corporation",,"Chemical","Delhi",3000,4500,73,Tier2,Penetration,"Khatima (UK), Thailand, USA"
"Finolex Industries",,"Cement","Pune",3000,4500,73,Tier2,Expansion,"Ratnagiri (MH), Masar (MH), Urse (MH)"
"Shell Lubricants",,"Other","Mumbai",600,4000,73,Tier2,Expansion,"Mumbai, Bangalore"
"Indo Gulf Fertilisers",,"Chemical","Delhi",1200,4000,73,Tier2,Penetration,"Jagdishpur (UP)"
"Safexpress",,"Other","Delhi",5000,2000,73,Tier2,Penetration,"Pan-India"
"CEVA Logistics",,"Other","",3000,2000,73,Tier2,Penetration,"Pan-India"
"Man Industries (O&G)",,"Other","Mumbai",1500,3500,73,Tier2,Penetration,"Anjar, Pithampur"
"Diesel Locomotive Works",,"Steel & Metals","Varanasi",7000,3000,73,Tier2,Penetration,"Varanasi (UP)"
"DB Schenker",,"Other","",2500,2000,73,Tier2,Penetration,"Pan-India"
"Isgec Heavy Engineering",,"Auto & Engineering","Noida",5000,4000,73,Tier2,Penetration,"Yamunanagar (HR), Dahej (GJ)"
"Godrej Interio",,"Cement","Mumbai",4000,3500,73,Tier2,Expansion,"Shirwal (MH), Haridwar, Khalapur"
"Mylan (Viatris)",,"FMCG","Hyderabad",6000,5500,73,Tier1,Penetration,"Hyderabad (TS), Bangalore, Indore"
"NCRTC (RRTS)",,"Steel & Metals","Delhi",2000,6000,73,Tier1,Penetration,"Delhi-NCR"
"Western Coalfields",,"Other","Nagpur",30000,18000,73,Tier1,Penetration,"Chandrapur, Nagpur (MH)"
"J M Baxi",,"Other","Mumbai",2500,2000,73,Tier2,Penetration,"Port cities"
"Future Supply Chain",,"Other","Mumbai",8000,2000,73,Tier2,Expansion,"Pan-India"
"Relaxo Footwears",,"Chemical","Delhi",8000,3000,73,Tier2,Penetration,"Bhiwadi (RJ), Haridwar, Bahadurgarh"
"Bosch Home",,"FMCG","Bangalore",1500,2500,73,Tier2,Penetration,"Chennai (TN)"
"JVL Agro (Liberty)",,"FMCG","Delhi",1500,3000,73,Tier2,Penetration,"Kandla (GJ), Delhi, Kolkata"
"Birla Carbon",,"Chemical","Mumbai",2500,6000,73,Tier1,Penetration,"Renukoot, Patalganga, Taloja"
"ACC/Ambuja (Fuel)",,"Other","Mumbai",2500,12000,73,Tier1,Expansion,"Pan-India"
"PSL Ltd (O&G)",,"Other","Ahmedabad",1500,3500,73,Tier2,Penetration,"Kandla, Vizag, Chennai"
"BMW India",,"Auto & Engineering","Gurugram",1500,15000,72,Tier1,Penetration,"Chennai (TN)"
"Schlumberger India",,"Other","Bangalore",2000,5000,72,Tier1,Penetration,"Pan-India"
"DLF Ltd",,"Cement","Delhi",,,72,Tier2,Penetration,"NCR projects"
