Company,Category,Segment,Sub_Segment,Account_Type,HQ,Key_Locations,Sales_Rs_Cr,Employees,Total_Logistics_Spend_Rs_Cr,Priority
Perfetti Van Melle,FMCG & Consumer,Fmcg Foods Personal Care,Confectionery,Penetration,,"Rudrapur (UK), Chennai, Manesar",3000.0,3500.0,94.0,
Jyothy Labs,FMCG & Consumer,Fmcg Foods Personal Care,Home Care,Penetration,Mumbai,"Baddi (HP), Pithampur (MP), Guwahati",2800.0,4000.0,94.0,
Johnson & Johnson,FMCG & Consumer,Fmcg Foods Personal Care,Personal Care,Penetration,Mumbai,"Baddi (HP), Mulund (MH)",3200.0,2500.0,94.0,
MG Motor India,Auto & Engineering,Auto Oem,PV/EV,Expansion,Gurugram,Halol (GJ),8000.0,2500.0,93.0,
Srinivasa Farms,Agriculture & Food,Agri Produce Perishables,Eggs,Penetration,Vijayawada,"Hyderabad (TS), Vijayawada (AP)",2000.0,3000.0,93.0,
Neyveli Lignite,Mining & Minerals,Industrial Minerals,Lignite,Penetration,Chennai,"Neyveli (TN), Rajasthan, Gujarat",12000.0,18000.0,92.0,
HPCL (Bitumen),Energy & Fuel,Bitumen,Refinery,Expansion,Mumbai,"Vizag, Mumbai, Bathinda, Rajasthan",6000.0,2500.0,92.0,
Fertilizer Companies,Chemicals & Petrochemicals,Acids Solvents,Buyers,Penetration,,Pan-India,0.0,0.0,92.0,
Essel Mining,Mining & Minerals,Industrial Minerals,Iron/Other,Expansion,Delhi,"Odisha, Jharkhand, Karnataka",5000.0,4000.0,92.0,
SAIL (Captive Mines),Mining & Minerals,Industrial Minerals,Multi,Penetration,Delhi,"Jharkhand, Odisha, MP",0.0,5000.0,92.0,
SFCL (State Farms),FMCG & Consumer,Food Grains Staples,Seeds/Grains,Penetration,Delhi,Pan-India,3000.0,5000.0,91.0,
Bhushan Steel (Tata),Steel & Metals,Steel Coils,Integrated,Expansion,Kolkata,"Angul (OD), Khopoli (MH)",20000.0,8000.0,91.0,
Vishal Mega Mart,FMCG & Consumer,Food Grains Staples,Staples,Penetration,Kolkata,North/East India,3000.0,5000.0,91.0,
Rashtriya Ispat Nigam,Steel & Metals,Steel Coils,Integrated,Penetration,Vizag,Visakhapatnam (AP),22000.0,15000.0,91.0,
Allana Group,FMCG & Consumer,Edible Oils,Palm/Vanaspati,Penetration,Mumbai,"Mumbai, Kakinada, Mangalore",5000.0,2000.0,91.0,
Tata Steel Wire Division,Steel & Metals,Steel Wire Products,Wire Rods,Expansion,Jamshedpur,"Jamshedpur (JH), Kalinganagar (OD), Gamharia",3500.0,2000.0,91.0,
Tata Steel (Semis),Steel & Metals,Steel Semi Finished,Integrated,Expansion,Mumbai,"Jamshedpur (JH), Kalinganagar (OD)",20000.0,6000.0,91.0,
Aavin (TN),FMCG & Consumer,Dairy Products,Cooperative,Penetration,Chennai,"Chennai, Madurai, Erode, Salem",12000.0,5000.0,91.0,
Mother Dairy (Dhara),FMCG & Consumer,Edible Oils,FMCG Oils,Penetration,Delhi,"Delhi, Gandhinagar (GJ), Calcutta",4000.0,3000.0,91.0,
Rain Industries,Chemicals & Petrochemicals,Graphite Carbon,CPC/Anodes,Expansion,Hyderabad,"Visakhapatnam (AP), Kurnool (AP), Belgium, USA",8000.0,4000.0,91.0,
Gujarat Ambuja Exports,FMCG & Consumer,Edible Oils,Soy/Maize,Penetration,Ahmedabad,"Himmatnagar (GJ), Kadi, Pithampur",4000.0,2500.0,91.0,
Jindal SAW (DI),Building & Construction,Pipes Fittings,DI Pipes,Penetration,Delhi,"Nagothane (MH), Mundra (GJ)",5000.0,4000.0,91.0,
VRL Logistics,General,General Cargo,Multi,Expansion,Hubli,Pan-India,2500.0,15000.0,91.0,
Apollo Tyres (Rubber),Chemicals & Petrochemicals,Rubber Latex,Compounds,Penetration,Gurugram,"Vadodara (GJ), Chennai (TN), Kerala",4000.0,3000.0,91.0,
Astral Ltd,Building & Construction,Pipes Fittings,CPVC/PVC,Expansion,Ahmedabad,"Santej (GJ), Hosur (TN), Dholka, Ghiloth, Sanand",5500.0,4000.0,91.0,
Sterlite Technologies,Auto & Engineering,Wires Cables,Fiber,Expansion,Pune,"Aurangabad (MH), Silvassa, Haridwar",6500.0,4000.0,91.0,
Tata Steel (Tubes),Steel & Metals,Steel Pipes Tubes,Precision,Expansion,Mumbai,"Jamshedpur (JH), Dewas (MP), Pune (MH), Khopoli (MH)",8000.0,3000.0,91.0,
RR Kabel,Auto & Engineering,Wires Cables,Building,Expansion,Mumbai,"Waghodia (GJ), Silvassa, Rajpur (HP), Baddi",6000.0,3500.0,91.0,
BPCL (Lubes),Energy & Fuel,Lubricants,Multi,Expansion,Mumbai,"Mumbai, Kochi, Kolkata, Chennai",6000.0,1500.0,91.0,
Trident Ltd,Chemicals & Petrochemicals,Synthetic Fibres,Yarn/Textiles,Penetration,Ludhiana,"Barnala (PB), Budni (MP), Dhaula",6000.0,15000.0,91.0,
Tata Consumer (Sampann),FMCG & Consumer,Food Grains Staples,Staples,Expansion,Mumbai,"Jaipur (RJ), Kolkata (WB), Bangalore",3500.0,2000.0,91.0,
UltraTech RMC,Building & Construction,Stone Aggregates,Aggregates,Penetration,Mumbai,Pan-India,4000.0,2500.0,91.0,
DCM Shriram (Agri),FMCG & Consumer,Food Grains Staples,Seeds/Agri,Penetration,Delhi,"Kota (RJ), Hyderabad, Delhi",3000.0,2000.0,91.0,
Indo Rama Synthetics,Chemicals & Petrochemicals,Synthetic Fibres,Polyester,Expansion,Gurugram,"Butibori (MH), Pithampur (MP), Gujarat",6000.0,5000.0,91.0,
TVS Supply Chain,General,General Cargo,3PL,Expansion,Chennai,Pan-India,3000.0,2500.0,91.0,
UltraTech (Pet Coke),Energy & Fuel,Coal Fuel,Cement,Expansion,Mumbai,Pan-India,15000.0,3000.0,90.0,
MSTC Ltd,Steel & Metals,Metal Scrap,Trading,Penetration,Kolkata,Pan-India,8000.0,1500.0,90.0,
India Post (Speed Post),General,General Cargo,Government,Penetration,Delhi,Pan-India,5000.0,500000.0,90.0,
Renault-Nissan,Auto & Engineering,Auto Oem,PV,Penetration,Chennai,Oragadam (TN),8500.0,8000.0,90.0,
Tata Steel (Scrap),Steel & Metals,Metal Scrap,Buyer,Expansion,Mumbai,"Jamshedpur (JH), Kalinganagar (OD)",5000.0,1500.0,90.0,
ONGC (Pipes),Steel & Metals,Steel Pipes Tubes,Buyer,Penetration,Delhi,Offshore/Onshore,0.0,0.0,90.0,
Metro Rail Projects,Building & Construction,Stone Aggregates,Transit,Penetration,,Metro cities,0.0,0.0,90.0,
Central Coalfields,Energy & Fuel,Coal Fuel,Mining,Penetration,Ranchi,"Ranchi, Hazaribagh (JH)",22000.0,35000.0,90.0,
CEAT Ltd,Auto & Engineering,Tyres,Multi,Expansion,Mumbai,"Nagpur, Nashik, Halol, Ambernath",12000.0,,90.0,
Blue Dart (DHL),General,General Cargo,Express,Penetration,Mumbai,Pan-India,5000.0,12000.0,90.0,
Airtel (Fiber),Auto & Engineering,Wires Cables,Buyer,Penetration,Delhi,Pan-India,0.0,0.0,90.0,
Orient Electric,FMCG & Consumer,Consumer Durables,Fans/Appliances,Penetration,New Delhi,"Faridabad (HR), Kolkata (WB), Noida (UP)",3200.0,3000.0,90.0,
L&T (Buyer),Steel & Metals,Steel Flats Longs,EPC,Penetration,Mumbai,Pan-India projects,0.0,0.0,90.0,
Sonalika Tractors,Auto & Engineering,Two Wheelers Tractors,Tractors,Expansion,Hoshiarpur,Hoshiarpur (PB),8000.0,4500.0,88.0,
APL Apollo Tubes,Steel & Metals,Steel Coils,Tubes/Coils,Expansion,Delhi,"Raipur (CG), Hosur (TN), Sikandrabad (UP), Murbad (MH), Dubai",18000.0,5000.0,88.0,
Prism Johnson (Ready-Mix),Building & Construction,Stone Aggregates,Aggregates,Expansion,Delhi,Pan-India,4500.0,3000.0,88.0,
Haldiram's,FMCG & Consumer,Food Processing,Snacks,Expansion,Nagpur,"Nagpur, Delhi, Kolkata, Noida, Gurgaon",8000.0,5000.0,88.0,
Integral Coach Factory,Steel & Metals,Steel Railways,Coaches,Penetration,Chennai,Chennai (TN),4000.0,10000.0,87.0,
Piramal Glass,Building & Construction,Glass Glazing,Pharma/Cosmetic,Expansion,Mumbai,"Kosamba (GJ), Jambusar (GJ), USA, Sri Lanka",2800.0,4000.0,87.0,
Hetero Drugs,FMCG & Consumer,Pharma Healthcare,API/Formulations,Penetration,Hyderabad,"Hyderabad (TS), Baddi, Vizag",7000.0,12000.0,87.0,
Thermax,Auto & Engineering,Project Cargo,Boilers/Chillers,Expansion,Pune,"Pune (MH), Baroda (GJ), Chennai",8000.0,8000.0,87.0,
Beml Ltd,Auto & Engineering,Project Cargo,Mining Equipment,Penetration,Bangalore,"Bangalore (KA), Mysore, Kolar",4500.0,10000.0,87.0,
Hitachi Energy,Auto & Engineering,Project Cargo,Transformers,Penetration,Zurich,"Vadodara (GJ), Bangalore",5000.0,3500.0,87.0,
Inox Wind,Auto & Engineering,Project Cargo,Wind,Penetration,Ahmedabad,"Ahmedabad (GJ), Rajasthan",2500.0,2000.0,87.0,
Abbott India,FMCG & Consumer,Pharma Healthcare,MNC Formulations,Penetration,Mumbai,"Jhagadia (GJ), Goa, Baddi",6500.0,4500.0,87.0,
Tata Chemicals,Chemicals & Petrochemicals,Fertilizers,Private,Penetration,Mumbai,Babrala (UP),16000.0,4500.0,87.0,
Jubilant Pharmova,FMCG & Consumer,Pharma Healthcare,CDMO/Radiopharma,Penetration,Noida,"Nanjangud (KA), Roorkee (UK), Noida",6500.0,8000.0,87.0,
Schneider Electric,Energy & Fuel,Solar Renewable,BoS,Penetration,Bangalore,"Bangalore (KA), Chennai (TN)",3000.0,1200.0,87.0,
Zuari Agro Chemicals,Chemicals & Petrochemicals,Fertilizers,Private,Penetration,Delhi,"Goa, Gurugram",4500.0,1800.0,86.0,
Nahar Spinning,FMCG & Consumer,Textiles Apparel,Yarn/Fabrics,Penetration,Ludhiana,"Ludhiana (PB), Lalru (PB), Baddi",2800.0,7000.0,86.0,
IOL Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Ibuprofen,Penetration,Ludhiana,"Barnala (PB), Ludhiana (PB)",2800.0,1500.0,86.0,
FMC India,Chemicals & Petrochemicals,Agrochemicals,MNC,Penetration,Delhi,"Panoli (GJ), Jambusar (GJ)",2800.0,1000.0,86.0,
Balaji Amines,Chemicals & Petrochemicals,Specialty Chemicals,Amines,Penetration,Solapur,"Solapur (MH), Chincholi (MH), Hotgi",2800.0,1400.0,86.0,
Gokaldas Exports,FMCG & Consumer,Textiles Apparel,Garments,Expansion,Bangalore,"Bangalore (KA), Hassan (KA), Mysore (KA), Chennai",2500.0,50000.0,86.0,
TTK Prestige,FMCG & Consumer,Consumer Durables,Kitchen,Penetration,Bangalore,"Hosur (TN), Roorkee (UK), Karjan (GJ)",3000.0,3500.0,86.0,
Sudarshan Chemical,Chemicals & Petrochemicals,Paints Coatings,Pigments,Penetration,Pune,"Roha (MH), Mahad (MH), Europe",2800.0,2500.0,86.0,
Gayatri Projects,Energy & Fuel,Bitumen,Roads,Penetration,Hyderabad,Pan-India projects,3500.0,3000.0,86.0,
Sudarshan Chemical,Chemicals & Petrochemicals,Specialty Chemicals,Pigments,Expansion,Pune,"Roha (MH), Mahad (MH), Europe, Mexico",2800.0,2500.0,86.0,
INOX Air Products,Chemicals & Petrochemicals,Industrial Gases,Atmospheric,Expansion,Mumbai,"Pan-India (Taloja, Dahej, Mundra, Bellary, Chennai)",2800.0,2000.0,86.0,
Sika India,Chemicals & Petrochemicals,Paints Coatings,Construction,Penetration,Mumbai,"Khopoli (MH), Kalol (GJ), Hosur (TN), Baddi",2800.0,1500.0,86.0,
MMRCL,Steel & Metals,Steel Railways,Metro,Penetration,Mumbai,Mumbai projects,8000.0,3000.0,85.0,
Birla Opus (Grasim),Chemicals & Petrochemicals,Paints Coatings,Decorative,Expansion,Mumbai,"Panipat (HR), Ludhiana (PB), Cheyyar (TN), Chamarajanagar (KA), Mahad (MH), Jejuri (MH)",2500.0,3000.0,85.0,
Bikaji Foods,FMCG & Consumer,Fmcg Foods Personal Care,Snacks,Penetration,Bikaner,"Bikaner (RJ), Guwahati, Kolkata, Karnal",2500.0,6000.0,85.0,
Rungta Mines,Mining & Minerals,Mining Minerals,Iron Ore,Penetration,Kolkata,"Odisha (Barbil, Joda)",4500.0,3000.0,85.0,
IKEA India,Building & Construction,Furniture Wood,Retail,Penetration,Bangalore,"Hyderabad, Mumbai, Bangalore, Delhi",3000.0,5000.0,85.0,
Petrofac India,Energy & Fuel,Oil Gas Services,EPC,Penetration,,Pan-India,8000.0,2000.0,85.0,
Gujarat Gas,Energy & Fuel,Oil Gas Services,CGD,Penetration,Ahmedabad,Gujarat,20000.0,3000.0,85.0,
Oil India Ltd,Energy & Fuel,Oil Gas Services,E&P,Expansion,Duliajan,"Duliajan (AS), Rajasthan",35000.0,10000.0,85.0,
Raipur Re-rollers,Steel & Metals,Steel Semi Finished,Buyers,Expansion,Raipur,Raipur belt (CG),15000.0,8000.0,85.0,
Reliance (Chemicals),Chemicals & Petrochemicals,Acids Solvents,Multi,Penetration,Mumbai,"Jamnagar (GJ), Dahej",8000.0,3000.0,83.0,
Sarda Energy & Minerals,Steel & Metals,Sponge Pig Iron,Sponge/Steel,Expansion,Raipur,"Raipur (CG), Siltara",5000.0,3000.0,83.0,
Nestle India (Coffee),Agriculture & Food,Tea Plantation,Coffee,Penetration,Gurugram,"Nanjangud (KA), Moga (PB)",3000.0,1500.0,83.0,
SAIL (Wire Rod),Steel & Metals,Steel Wire Products,Wire Rods,Penetration,Delhi,"Bhilai (CG), Bokaro (JH), Durgapur (WB)",3000.0,2000.0,83.0,
Bikaji Foods,FMCG & Consumer,Food Grains Staples,Snacks/Staples,Penetration,Bikaner,"Bikaner (RJ), Guwahati, Kolkata, Karnal",2500.0,6000.0,83.0,
Novelis India,Steel & Metals,Non Ferrous Metals,Al Rolling,Expansion,Atlanta,Hirakud (OD),3500.0,1200.0,83.0,
Indorama (Petrochem),Chemicals & Petrochemicals,Synthetic Fibres,Polyester,Penetration,Thailand,"Tuticorin (TN), Haldia (WB)",5000.0,2000.0,83.0,
TCI Freight,General,General Cargo,Multi,Expansion,Gurugram,Pan-India,2500.0,4000.0,83.0,
K.P.R. Mill,Chemicals & Petrochemicals,Synthetic Fibres,Spinning/Garments,Penetration,Coimbatore,"Coimbatore (TN), Tirupur, Sathyamangalam",5500.0,25000.0,83.0,
Century Plyboards,Building & Construction,Furniture Wood,Plywood,Expansion,Kolkata,"Joka (WB), Hoshiarpur (PB), Yamuna Nagar",4000.0,5000.0,83.0,
Sonalika Tractors,Auto & Engineering,Auto Oem,Tractors,Penetration,Hoshiarpur,Hoshiarpur (PB),8000.0,4500.0,83.0,
Ecom Express,General,General Cargo,E-commerce,Penetration,Delhi,Pan-India,2500.0,15000.0,83.0,
Hatsun Agro,FMCG & Consumer,Dairy Products,South,Expansion,Chennai,"Chennai (TN), Madurai, Belgaum (KA), Hyderabad",8500.0,4000.0,83.0,
Acme Solar,Energy & Fuel,Solar Renewable,IPP/Mfg,Penetration,Gurugram,Rajasthan,3000.0,1000.0,83.0,
Ramagundam Fertilizers,Chemicals & Petrochemicals,Fertilizers,JV,Penetration,Hyderabad,Ramagundam (TS),4500.0,1000.0,83.0,
Kuehne+Nagel,General,General Cargo,3PL,Penetration,,Pan-India,2500.0,2000.0,83.0,
AM/NS India (Plates),Steel & Metals,Steel Flats Longs,Integrated,Expansion,Mumbai,Hazira (GJ),18000.0,5000.0,83.0,
JSW Steel (Sponge),Steel & Metals,Sponge Pig Iron,Sponge,Penetration,Mumbai,"Vijayanagar (KA), Dolvi (MH)",4000.0,2500.0,83.0,
DeHaat,Agriculture & Food,Agri Produce Perishables,Agri Platform,Penetration,Patna,"Bihar, UP, Jharkhand, Odisha",1500.0,3000.0,83.0,
Rain Industries,Energy & Fuel,Coal Fuel,Pet Coke,Expansion,Hyderabad,"Visakhapatnam (AP), Kurnool (AP)",8000.0,3000.0,83.0,
V-Guard Industries,Auto & Engineering,Wires Cables,Building,Expansion,Kochi,"Coimbatore (TN), Kashipur (UK), Sikkim",5500.0,2500.0,82.0,
Siyaram Silk,FMCG & Consumer,Textiles Apparel,Fabrics,Penetration,Mumbai,"Tarapur (MH), Silvassa",2500.0,5000.0,82.0,
Meghmani Organics,Chemicals & Petrochemicals,Agrochemicals,Pigments/Agro,Expansion,Ahmedabad,"Dahej (GJ), Ankleshwar (GJ), Panoli",2600.0,3000.0,82.0,
Force Motors,Auto & Engineering,Auto Oem,CV/Utility,Expansion,Pune,"Pune, Pithampur (MP), Chakan",7500.0,4000.0,82.0,
Meghmani Organics,Chemicals & Petrochemicals,Specialty Chemicals,Pigments/Agro,Penetration,Ahmedabad,"Dahej (GJ), Ankleshwar (GJ), Panoli",2600.0,3000.0,82.0,
Bata India,Chemicals & Petrochemicals,Rubber Latex,Footwear,Penetration,Kolkata,"Batanagar (WB), Faridabad, Hosur",3200.0,10000.0,82.0,
HPCL (Lubes),Energy & Fuel,Lubricants,Multi,Expansion,Mumbai,"Mumbai, Vizag, Kolkata, Chennai",5000.0,1200.0,82.0,
Caterpillar India,Auto & Engineering,Project Cargo,Mining/Const,Penetration,Chennai,"Thiruvallur (TN), Hosur",4000.0,3000.0,81.0,
Bayer CropScience (Seeds),Agriculture & Food,Seeds Planting Material,Multi,Expansion,Mumbai,"Hyderabad (TS), Bangalore, Aurangabad, Udaipur",8000.0,3000.0,81.0,
Cargill India (Feed),Agriculture & Food,Animal Feed,Multi,Expansion,Gurugram,"Hyderabad, Coimbatore, Hajipur, Hoshiarpur",6000.0,2500.0,81.0,
Nestle India (Dairy),FMCG & Consumer,Dairy Products,Value-Added,Expansion,Gurugram,"Moga (PB), Samalkha (HR), Tahliwal (HP), Pantnagar (UK)",8000.0,3000.0,81.0,
Deepak Nitrite,Chemicals & Petrochemicals,Acids Solvents,Specialty,Expansion,Vadodara,"Nandesari (GJ), Dahej, Roha (MH)",8500.0,3000.0,81.0,
ReNew Power,Energy & Fuel,Solar Renewable,IPP,Expansion,Gurugram,Pan-India sites,9500.0,3500.0,80.0,
ACC/Ambuja (Captive),Mining & Minerals,Industrial Minerals,Limestone,Penetration,Mumbai,"Gujarat, MH, HP, MP",0.0,3000.0,80.0,
Flipkart (Walmart),E-commerce & Retail,Ecommerce Retail,E-commerce,Expansion,Bangalore,"Bangalore, Delhi, Hyderabad, Kolkata, Chennai, Mumbai",120000.0,50000.0,80.0,
Balkrishna (BKT),Auto & Engineering,Tyres,OTR/Farm,Expansion,Mumbai,"Bhuj, Chopanki, Aurangabad, Waluj",10000.0,,80.0,
LT Foods,FMCG & Consumer,Food Processing,Rice,Penetration,Gurugram,"Bahalgarh (HR), Sonepat",6500.0,3000.0,80.0,
Sterlite Grid,Auto & Engineering,Wires Cables,Buyer,Penetration,Delhi,Pan-India projects,0.0,0.0,80.0,
Rockman Industries,Steel & Metals,Non Ferrous Metals,Al Die Casting,Penetration,Ludhiana,"Bhiwadi (RJ), Manesar (HR), Chennai",3500.0,4000.0,80.0,
Jodhpur Furniture Assn,Building & Construction,Furniture Wood,Traditional,Penetration,Jodhpur,Jodhpur (RJ),3000.0,15000.0,80.0,
Finolex Cables,Auto & Engineering,Wires Cables,Multi,Expansion,Pune,"Pune (MH), Goa, Roorkee",5000.0,3000.0,79.0,
RenewSys,Energy & Fuel,Solar Renewable,Solar,Expansion,Hyderabad,"Bengaluru (KA), Hyderabad (TS)",2500.0,1500.0,79.0,
MDH Spices,FMCG & Consumer,Food Grains Staples,Spices,Penetration,Delhi,"Delhi, Gurgaon, Nagpur, Dubai",2500.0,4000.0,79.0,
JSW Steel (Wire Rod),Steel & Metals,Steel Wire Products,Wire Rods,Expansion,Mumbai,"Vijayanagar (KA), Dolvi (MH)",2800.0,1500.0,79.0,
Surya Roshni (Pipes),Steel & Metals,Steel Pipes Tubes,ERW,Expansion,Delhi,"Malanpur (MP), Kashipur (UK), Bahadurgarh (HR), Anjar (GJ)",6500.0,3000.0,79.0,
Lodha Group,Building & Construction,Blocks Bricks,Buyer,Penetration,Mumbai,Mumbai projects,0.0,0.0,78.0,
JSW Steel (Scrap),Steel & Metals,Metal Scrap,Buyer,Expansion,Mumbai,"Dolvi (MH), Vijayanagar (KA), Salem (TN)",4000.0,1200.0,78.0,
Longi Green (India),Energy & Fuel,Solar Renewable,Modules,Penetration,,Import/Planned,5000.0,300.0,78.0,
Tata Hitachi,Auto & Engineering,Project Cargo,Excavators,Penetration,Mumbai,"Kharagpur (WB), Dharwad (KA)",4000.0,3500.0,78.0,
SAIL (Coal),Energy & Fuel,Coal Fuel,Steel,Penetration,Delhi,BCCL linkage,15000.0,4000.0,78.0,
Bombay Dyeing,FMCG & Consumer,Textiles Apparel,Home Textiles,Expansion,Mumbai,"Mumbai (MH), Ranjangaon (MH)",2500.0,4000.0,77.0,
Himadri Speciality,Chemicals & Petrochemicals,Specialty Chemicals,Carbon,Penetration,Kolkata,"Mahistikry (WB), Visakhapatnam (AP)",2500.0,1800.0,77.0,
Kiri Industries,Chemicals & Petrochemicals,Specialty Chemicals,Dyes,Penetration,Ahmedabad,"Vadodara (GJ), Ahmedabad",2400.0,1800.0,77.0,
Fine Organic,Chemicals & Petrochemicals,Specialty Chemicals,Oleochemicals,Penetration,Mumbai,"Ambernath (MH), Badlapur (MH), Malaysia",2400.0,1100.0,77.0,
Syrma SGS,FMCG & Consumer,Consumer Durables,EMS,Penetration,Chennai,"Chennai (TN), Bhiwadi (RJ), Gurugram",2800.0,3000.0,77.0,
Nilkamal Ltd,Chemicals & Petrochemicals,Petrochemicals Polymers,Plastics,Penetration,Mumbai,"Sinnar (MH), Hosur (TN), Samba (J&K)",3200.0,4000.0,77.0,
SABIC India,Chemicals & Petrochemicals,Petrochemicals Polymers,Engineering Plastics,Penetration,Riyadh,"Chennai, Vadodara",3500.0,800.0,77.0,
Cosmo Films,Chemicals & Petrochemicals,Petrochemicals Polymers,BOPP Films,Penetration,Delhi,"Aurangabad (MH), Waluj (MH), Korea",3500.0,1800.0,77.0,
Prince Pipes,Chemicals & Petrochemicals,Petrochemicals Polymers,PVC Pipes,Penetration,Mumbai,"Jaipur (RJ), Haridwar (UK), Chennai",3200.0,2500.0,77.0,
Lotte Chemical (ex-LG),Chemicals & Petrochemicals,Petrochemicals Polymers,ABS/PS,Penetration,Vizag,Vizag (AP),3500.0,800.0,77.0,
Mangalore Chemicals,Chemicals & Petrochemicals,Fertilizers,Private,Penetration,Mangalore,Mangalore (KA),4200.0,1200.0,77.0,
Matix Fertilisers,Chemicals & Petrochemicals,Fertilizers,Private,Penetration,Kolkata,Panagarh (WB),4000.0,1200.0,77.0,
PPG Asian Paints,Chemicals & Petrochemicals,Paints Coatings,Automotive,Expansion,Chennai,"Gujarat, Chennai",2500.0,800.0,77.0,
HNG Industries (Float),Building & Construction,Glass Glazing,Float,Expansion,Delhi,"Bahadurgarh (HR), Halol (GJ)",2500.0,2000.0,77.0,
Praxair India (Linde),Chemicals & Petrochemicals,Industrial Gases,Full Range,Expansion,Mumbai,Pan-India,2500.0,1800.0,77.0,
Titagarh Rail,Steel & Metals,Steel Railways,Coaches,Expansion,Kolkata,"Titagarh (WB), Uttarpara, Latur",4000.0,5000.0,77.0,
Laurus Labs,FMCG & Consumer,Pharma Healthcare,API/CDMO,Expansion,Hyderabad,"Visakhapatnam (AP), Parawada (AP)",6500.0,10000.0,77.0,
Envision Energy,Energy & Fuel,Solar Renewable,Wind,Penetration,Beijing,Gujarat,2000.0,800.0,76.0,
Yamaha India,Auto & Engineering,Two Wheelers Tractors,2W,Penetration,Chennai,"Chennai (TN), Surajpur (UP), Kancheepuram",7000.0,3800.0,76.0,
DSM-Firmenich,FMCG & Consumer,Fmcg Foods Personal Care,Flavors/Fragrances,Penetration,Mumbai,"Thane (MH), Dehradun, Bangalore",3500.0,2000.0,76.0,
Mars India,FMCG & Consumer,Fmcg Foods Personal Care,Confectionery/Pet,Penetration,Mumbai,"Bhiwandi (MH), Bangalore",2500.0,1500.0,76.0,
Talcher Fertilizers,Chemicals & Petrochemicals,Fertilizers,JV,Penetration,Bhubaneswar,Talcher (OD),4000.0,800.0,76.0,
AM/NS India (Longs),Steel & Metals,Steel Structural,Integrated,Penetration,Mumbai,Hazira (GJ),12000.0,3000.0,75.0,
HPCL (Pipelines),Steel & Metals,Steel Pipes Tubes,Buyer,Penetration,Mumbai,Pan-India pipelines,0.0,0.0,75.0,
POSCO India,Steel & Metals,Steel Coils,Integrated,Penetration,Seoul,Proposed Odisha,15000.0,2000.0,75.0,
L&T Infrastructure,Steel & Metals,Steel Structural,Buyer,Penetration,Mumbai,Pan-India projects,0.0,0.0,75.0,
SKM Egg Products,Agriculture & Food,Agri Produce Perishables,Egg Processing,Penetration,Erode,"Erode (TN), Namakkal (TN)",1500.0,2000.0,75.0,
AM/NS India (Slabs),Steel & Metals,Steel Semi Finished,Integrated,Penetration,Mumbai,Hazira (GJ),15000.0,4000.0,75.0,
Tata Projects,Steel & Metals,Steel Flats Longs,EPC,Penetration,Mumbai,Pan-India projects,0.0,0.0,75.0,
L&T (Buyer),Building & Construction,Stone Aggregates,Infrastructure,Penetration,Mumbai,Pan-India,0.0,0.0,75.0,
Oriental Structural,Energy & Fuel,Bitumen,Roads,Penetration,Delhi,Pan-India projects,3000.0,2500.0,75.0,
Gravita India,Steel & Metals,Non Ferrous Metals,Recycling,Penetration,Jaipur,"Jaipur (RJ), Mundra (GJ), Chittoor (AP)",3200.0,2000.0,75.0,
Zepto (Fresh),Agriculture & Food,Agri Produce Perishables,Q-commerce,Penetration,Mumbai,All metros,1000.0,3000.0,75.0,
BEML (Rail),Steel & Metals,Steel Railways,Metro/Coaches,Penetration,Bangalore,"Bangalore (KA), Palakkad (KL)",3500.0,5000.0,75.0,
WayCool,Agriculture & Food,Agri Produce Perishables,Cold Chain,Penetration,Chennai,"Chennai, Bangalore, Hyderabad",1200.0,2500.0,75.0,
Godrej Tyson,Agriculture & Food,Agri Produce Perishables,Meat/Poultry,Penetration,Bangalore,"Bangalore (KA), Hyderabad (TS)",1200.0,2000.0,75.0,
JSPL (Plates),Steel & Metals,Steel Flats Longs,Integrated,Expansion,Delhi,"Angul (OD), Raigarh (CG), Patratu (JH)",15000.0,5000.0,74.0,
Shyam Steel,Steel & Metals,Sponge Pig Iron,Sponge/Steel,Expansion,Kolkata,"Durgapur (WB), Jamuria",4000.0,3500.0,74.0,
Gati Ltd,General,General Cargo,Express/LTL,Expansion,Hyderabad,Pan-India,2000.0,3500.0,73.0,
Polyplex Corporation,Chemicals & Petrochemicals,Synthetic Fibres,Films,Penetration,Delhi,"Khatima (UK), Thailand, USA",4500.0,3000.0,73.0,
Finolex Industries,Building & Construction,Pipes Fittings,PVC,Expansion,Pune,"Ratnagiri (MH), Masar (MH), Urse (MH)",4500.0,3000.0,73.0,
Nava Bharat Ventures,Steel & Metals,Ferro Alloys,Silico Mn,Expansion,Hyderabad,"Paloncha (TS), Odisha, Chhattisgarh",3000.0,2500.0,73.0,
Shell Lubricants,Energy & Fuel,Lubricants,Premium,Expansion,Mumbai,"Mumbai, Bangalore",4000.0,600.0,73.0,
Indo Gulf Fertilisers,Chemicals & Petrochemicals,Fertilizers,Private,Penetration,Delhi,Jagdishpur (UP),4000.0,1200.0,73.0,
Safexpress,General,General Cargo,Express,Penetration,Delhi,Pan-India,2000.0,5000.0,73.0,
CEVA Logistics,General,General Cargo,3PL,Penetration,,Pan-India,2000.0,3000.0,73.0,
