target_account,matched_customer,status
DMart (Foods),Amrit Food,FLAGGED - EXISTING CUSTOMER
Shahi Exports,XP India,FLAGGED - EXISTING CUSTOMER
Godrej Appliances,Godrej,FLAGGED - EXISTING CUSTOMER
India Pulses & Grains Assn,rain,FLAGGED - EXISTING CUSTOMER
Crompton Greaves,P,FLAGGED - EXISTING CUSTOMER
Panasonic India,P,FLAGGED - EXISTING CUSTOMER
Atul Auto,Linclimited,FLAGGED - EXISTING CUSTOMER
Hi-Tech Pipes,ECH,FLAGGED - EXISTING CUSTOMER
Exide Energy Solutions,Linclimited,FLAGGED - EXISTING CUSTOMER
Ajax Engineering,Khosla Engineering - India,FLAGGED - EXISTING CUSTOMER
OK Play India,P,FLAGGED - EXISTING CUSTOMER
Optiemus Electronics,P,FLAGGED - EXISTING CUSTOMER
Usha International,Deltrade International,FLAGGED - EXISTING CUSTOMER
Nitin Spinners,P,FLAGGED - EXISTING CUSTOMER
Alkyl Amines,Alkyl Amines Chemical & Pharma Ltd,FLAGGED - EXISTING CUSTOMER
Asian Footwears,Asian Footwears,FLAGGED - EXISTING CUSTOMER
Motherson Group,P,FLAGGED - EXISTING CUSTOMER
Reliance (Chemicals),Grand Chemicals,FLAGGED - EXISTING CUSTOMER
Dollar Industries,Linclimited,FLAGGED - EXISTING CUSTOMER
Chittaranjan Loco Works,Linclimited,FLAGGED - EXISTING CUSTOMER
Isgec Heavy Engineering,Heavy Engineering,FLAGGED - EXISTING CUSTOMER
BEML (Rail),Linclimited,FLAGGED - EXISTING CUSTOMER
Intas Pharma,NATCO Pharma,FLAGGED - EXISTING CUSTOMER
Bosch Home,BOS,FLAGGED - EXISTING CUSTOMER
Cairn Oil & Gas,INDIAN OIL CORP. LTD,FLAGGED - EXISTING CUSTOMER
Tata Hitachi,Tata Hitachi Construction Materials Manufacturing - End to End TMS,FLAGGED - EXISTING CUSTOMER
DHL Supply Chain,DNA Supply Chain Solutions,FLAGGED - EXISTING CUSTOMER
Rubfila International,Believe International,FLAGGED - EXISTING CUSTOMER
Monte Carlo,Linclimited,FLAGGED - EXISTING CUSTOMER
ArcelorMittal Nippon Steel,P,FLAGGED - EXISTING CUSTOMER
NMDC Steel,MESCO STEEL,FLAGGED - EXISTING CUSTOMER
JSW Infrastructure,ABAN INFRASTRUCTURE PRIVATE LIMITED,FLAGGED - EXISTING CUSTOMER
Uttam Galva Metaliks,Linclimited,FLAGGED - EXISTING CUSTOMER
Campus Activewear,P,FLAGGED - EXISTING CUSTOMER
Suprajit Engineering,SM Auto Engineering Pvt,FLAGGED - EXISTING CUSTOMER
NTPC Ltd,P,FLAGGED - EXISTING CUSTOMER
LT Foods,Dil Foods,FLAGGED - EXISTING CUSTOMER
Covestro India,Covestro,FLAGGED - EXISTING CUSTOMER
ABB India,ghabbour.com,FLAGGED - EXISTING CUSTOMER
Gujarat Narmada Fertilizers,Gujarat State Fertilizers & Chemical & Pharma Ltd. Official,FLAGGED - EXISTING CUSTOMER
Triveni Turbine,Triveni REFURB,FLAGGED - EXISTING CUSTOMER
Rajratan Global Wire,Linclimited,FLAGGED - EXISTING CUSTOMER
Ninjacart,Ninjacart,FLAGGED - EXISTING CUSTOMER
Schreiber Dynamix,Schreiber Dynamix Dairies Ltd,FLAGGED - EXISTING CUSTOMER
Pfizer India,P,FLAGGED - EXISTING CUSTOMER
Corteva Agriscience,ISC,FLAGGED - EXISTING CUSTOMER
JCB India,JCBL Accessories,FLAGGED - EXISTING CUSTOMER
Rashmi Metaliks,Rashmi Metaliks,FLAGGED - EXISTING CUSTOMER
Sanofi India,ofi,FLAGGED - EXISTING CUSTOMER
MRF Ltd,MRF Tyre Chennai - ETE TMS,FLAGGED - EXISTING CUSTOMER
Tata Consumer (Sampann),P,FLAGGED - EXISTING CUSTOMER
Hindustan Copper,Hindustan Motors Limited.,FLAGGED - EXISTING CUSTOMER
Tata Steel (Captive),P,FLAGGED - EXISTING CUSTOMER
JSPL (Plates),Ate India,FLAGGED - EXISTING CUSTOMER
JSW Energy,Sea6 Energy,FLAGGED - EXISTING CUSTOMER
Vikram Solar,Ikaros-Solar,FLAGGED - EXISTING CUSTOMER
PCBL (Phillips Carbon),HIL LIMITED,FLAGGED - EXISTING CUSTOMER
NMDC (Steel),MESCO STEEL,FLAGGED - EXISTING CUSTOMER
Bosch Rexroth India,BOS,FLAGGED - EXISTING CUSTOMER
Rajasthan Minerals,Inera,FLAGGED - EXISTING CUSTOMER
Electrosteel,Electrosteel Castings Ltd,FLAGGED - EXISTING CUSTOMER
Indo Gulf Fertilisers,Linclimited,FLAGGED - EXISTING CUSTOMER
UltraTech Building Products,Ate India,FLAGGED - EXISTING CUSTOMER
Electrosteel Castings,Electrosteel Castings Ltd,FLAGGED - EXISTING CUSTOMER
Epiroc India,P,FLAGGED - EXISTING CUSTOMER
JSPL (Sponge),P,FLAGGED - EXISTING CUSTOMER
Adhunik Metaliks,Rashmi Metaliks,FLAGGED - EXISTING CUSTOMER
Sundram Fasteners,Mohindra Fasteners Limited,FLAGGED - EXISTING CUSTOMER
Sree Rayalaseema,Sree Rayalaseema HI-Strength Hypo Ltd.,FLAGGED - EXISTING CUSTOMER
Mahindra Logistics,Drac Logistics,FLAGGED - EXISTING CUSTOMER
Realme India,realme,FLAGGED - EXISTING CUSTOMER
Olam Agri (Oils),Linclimited,FLAGGED - EXISTING CUSTOMER
MTR Foods,marino foods,FLAGGED - EXISTING CUSTOMER
SAIL (Pig Iron),P,FLAGGED - EXISTING CUSTOMER
JSW Steel (Coal),Linclimited,FLAGGED - EXISTING CUSTOMER
Kalamboli Scrap Market,P,FLAGGED - EXISTING CUSTOMER
Suguna Foods,Ghanta Foods Private Limited,FLAGGED - EXISTING CUSTOMER
DMRC (Procurement),P,FLAGGED - EXISTING CUSTOMER
Apollo Tyres,P,FLAGGED - EXISTING CUSTOMER
Vestas India,Vestas,FLAGGED - EXISTING CUSTOMER
Adani Enterprises (Coal),Adani Enterprises Limited - Kutch Copper Ltd - ULIP API,FLAGGED - EXISTING CUSTOMER
BASF Agri (India),GRI,FLAGGED - EXISTING CUSTOMER
Balaji Amines,Balaji Wafers Pvt Ltd,FLAGGED - EXISTING CUSTOMER
IOCL (Lubes),OCL INDIA LIMITED,FLAGGED - EXISTING CUSTOMER
Adani Green,REE,FLAGGED - EXISTING CUSTOMER
Chemical Traders,TradeIndia,FLAGGED - EXISTING CUSTOMER
Gujarat Narmada Valley,Linclimited,FLAGGED - EXISTING CUSTOMER
Novelis India,Linclimited,FLAGGED - EXISTING CUSTOMER
Microns,Microsep,FLAGGED - EXISTING CUSTOMER
Maan Aluminium,ANRAK ALUMINIUM,FLAGGED - EXISTING CUSTOMER
Dodla Dairy,air,FLAGGED - EXISTING CUSTOMER
Precision Wires,PRECISION WIRES INDIA LIMITED,FLAGGED - EXISTING CUSTOMER
Nestle India (Dairy),air,FLAGGED - EXISTING CUSTOMER
Dalmia Bharat (Mining),Linclimited,FLAGGED - EXISTING CUSTOMER
ReNew Power,P,FLAGGED - EXISTING CUSTOMER
Haier India,air,FLAGGED - EXISTING CUSTOMER
Mayapuri Scrap Market,P,FLAGGED - EXISTING CUSTOMER
L&T Metro Rail,L&T Technology Services,FLAGGED - EXISTING CUSTOMER
GHCL Ltd,GOCL,FLAGGED - EXISTING CUSTOMER
Cremica,Cremica Biscuits,FLAGGED - EXISTING CUSTOMER
Nava Bharat Ventures,Nava Bharat Ventures,FLAGGED - EXISTING CUSTOMER
Indian Potash Ltd,P,FLAGGED - EXISTING CUSTOMER
Reliance Industries (O&G),Linclimited,FLAGGED - EXISTING CUSTOMER
MOIL Ltd,MOIL Ltd(Manganese Ore India Ltd),FLAGGED - EXISTING CUSTOMER
Carrier Midea,Midea,FLAGGED - EXISTING CUSTOMER
PepsiCo (Frito-Lay),P,FLAGGED - EXISTING CUSTOMER
Essar Oil (Nayara),Linclimited,FLAGGED - EXISTING CUSTOMER
Bhushan Steel (Tata),BMWIL (Bhushan Power & Steel Limited),FLAGGED - EXISTING CUSTOMER
DSM-Firmenich,DSM India Pvt Ltd,FLAGGED - EXISTING CUSTOMER
Raipur Re-rollers,P,FLAGGED - EXISTING CUSTOMER
Marico (Saffola),Marico Limited,FLAGGED - EXISTING CUSTOMER
Gharda Chemicals,Grand Chemicals,FLAGGED - EXISTING CUSTOMER
Thermax,THERMAX,FLAGGED - EXISTING CUSTOMER
Nilkamal Ltd,Nilkamal Ltd,FLAGGED - EXISTING CUSTOMER
Dabur (Real Juice),Dabur India Ltd,FLAGGED - EXISTING CUSTOMER
Perfetti Van Melle,"TTI,",FLAGGED - EXISTING CUSTOMER
Titagarh Rail,Linclimited,FLAGGED - EXISTING CUSTOMER
Hindustan Foods,Hindustan Motors Limited.,FLAGGED - EXISTING CUSTOMER
JCB India Ltd,JCBL Accessories,FLAGGED - EXISTING CUSTOMER
CavinKare,Cavinkare Pvt Ltd - Order and Dispatch planning,FLAGGED - EXISTING CUSTOMER
Gemini Edibles,Linclimited,FLAGGED - EXISTING CUSTOMER
Dhanuka Agritech,DHANUKA AGRITECH LIMITED,FLAGGED - EXISTING CUSTOMER
Rajasthan State Mines,Ate India,FLAGGED - EXISTING CUSTOMER
BHEL (Rail),Linclimited,FLAGGED - EXISTING CUSTOMER
Heritage Foods,Heritage Foods Limited,FLAGGED - EXISTING CUSTOMER
Rallis India (Tata),Linclimited,FLAGGED - EXISTING CUSTOMER
Usha Martin,Usha martin,FLAGGED - EXISTING CUSTOMER
Sandhar Technologies,Mtar technologies,FLAGGED - EXISTING CUSTOMER
Gravita India,GRAVITA INDIA LIMITED -,FLAGGED - EXISTING CUSTOMER
BMW India,BMWIL (Bhushan Power & Steel Limited),FLAGGED - EXISTING CUSTOMER
Daimler India (BharatBenz),BharatBenz,FLAGGED - EXISTING CUSTOMER
Yamaha India,Yamaha Motor India,FLAGGED - EXISTING CUSTOMER
MG Motor India,GWM Motors,FLAGGED - EXISTING CUSTOMER
SAIL (Rail Mill),Linclimited,FLAGGED - EXISTING CUSTOMER
Neyveli Lignite,Linclimited,FLAGGED - EXISTING CUSTOMER
Aavin (TN),TN India,FLAGGED - EXISTING CUSTOMER
Tata Steel (Semis),Tata Steel Long Products Ltd,FLAGGED - EXISTING CUSTOMER
Century Aluminium,ANRAK ALUMINIUM,FLAGGED - EXISTING CUSTOMER
Prince Pipes,P,FLAGGED - EXISTING CUSTOMER
Mold-Tek Packaging,P,FLAGGED - EXISTING CUSTOMER
Gokaldas Exports,XP India,FLAGGED - EXISTING CUSTOMER
Bikaji Foods,Bikaji Foods International Ltd. - India,FLAGGED - EXISTING CUSTOMER
NOCIL Ltd,INDIAN OIL CORP. LTD,FLAGGED - EXISTING CUSTOMER
Agarwal Foundries,Agarwal foods,FLAGGED - EXISTING CUSTOMER
Borosil Ltd,Linclimited,FLAGGED - EXISTING CUSTOMER
Mundra Solar (Adani),Linclimited,FLAGGED - EXISTING CUSTOMER
Delhivery,Delhivery,FLAGGED - EXISTING CUSTOMER
Siegwerk India,Siegwerk,FLAGGED - EXISTING CUSTOMER
CAF India,NUCAF LOGISTICS SERVICES CO.,FLAGGED - EXISTING CUSTOMER
DCM Shriram (Chemicals),DCM SHRIRAM LIMITED,FLAGGED - EXISTING CUSTOMER
Rathi Super Steel,P,FLAGGED - EXISTING CUSTOMER
AGI Greenpac,AGI Greenpac,FLAGGED - EXISTING CUSTOMER
Container Corporation,Container Corporation of India Limited,FLAGGED - EXISTING CUSTOMER
Magicrete Building Solutions,Magicrete Building Solutions Pvt Ltd.,FLAGGED - EXISTING CUSTOMER
Reliance Battery,Linclimited,FLAGGED - EXISTING CUSTOMER
Siemens Gamesa (India),MES,FLAGGED - EXISTING CUSTOMER
Modi Naturals,Linclimited,FLAGGED - EXISTING CUSTOMER
Greenply Industries,Greenply Industries Limited,FLAGGED - EXISTING CUSTOMER
Exide Industries,Exide - SIM Vehicle Tracking,FLAGGED - EXISTING CUSTOMER
Ami Organics,Laxmi Organic Industries Ltd,FLAGGED - EXISTING CUSTOMER
Vindhya Telelinks,Linclimited,FLAGGED - EXISTING CUSTOMER
Knorr-Bremse India,KNORR BREMSE SYSTEMS FOR COMMERCIAL VEHICLES INDIA PVT. LTD.,FLAGGED - EXISTING CUSTOMER
Jindal Stainless (Flats),Jindal Stainless Jajpur- Coal tracking + Outbound,FLAGGED - EXISTING CUSTOMER
Reliance New Energy,Linclimited,FLAGGED - EXISTING CUSTOMER
Kobelco India,Linclimited,FLAGGED - EXISTING CUSTOMER
Piramal Glass,P,FLAGGED - EXISTING CUSTOMER
Amara Raja Energy,M/s. Amara Raja Batteries Ltd,FLAGGED - EXISTING CUSTOMER
Valiant Organics,AMI ORGANICS LIMITED,FLAGGED - EXISTING CUSTOMER
Opto Circuits,Opto Circuits Limited,FLAGGED - EXISTING CUSTOMER
Agarwal Industrial Corp,Linclimited,FLAGGED - EXISTING CUSTOMER
Sudal Industries,Linclimited,FLAGGED - EXISTING CUSTOMER
Chitale Dairy,Chitale Dairy,FLAGGED - EXISTING CUSTOMER
Amul (Cattle Feed),Urja Cattle Feed,FLAGGED - EXISTING CUSTOMER
Danieli India,Linclimited,FLAGGED - EXISTING CUSTOMER
Century Plyboards,CENTURY PLYBOARDS,FLAGGED - EXISTING CUSTOMER
Vedanta (Copper),Vedanta,FLAGGED - EXISTING CUSTOMER
Techint India,ECH,FLAGGED - EXISTING CUSTOMER
DIC India,Deys Medical Stores Mfg Ltd,FLAGGED - EXISTING CUSTOMER
H.B. Fuller India,H.B. Fuller Company,FLAGGED - EXISTING CUSTOMER
DCW Ltd,DCW Limited,FLAGGED - EXISTING CUSTOMER
Britannia (Dairy),BRITANNIA INDUSTRIES LIMITED,FLAGGED - EXISTING CUSTOMER
DCM Shriram (Agri),DCM SHRIRAM LIMITED,FLAGGED - EXISTING CUSTOMER
Indo Rama Synthetics,INDO RAMA SYNTHETICS (I-,FLAGGED - EXISTING CUSTOMER
Surya Roshni (Pipes),HNI India,FLAGGED - EXISTING CUSTOMER
Big Basket (Private Label),Linclimited,FLAGGED - EXISTING CUSTOMER
Graphite India Ltd,P,FLAGGED - EXISTING CUSTOMER
Shyam Steel,Shyam Steel Industries Ltd,FLAGGED - EXISTING CUSTOMER
Tata Steel (Tubes),RAMA STEEL TUBES LTD - GHAZIABAD,FLAGGED - EXISTING CUSTOMER
Air Liquide India,air,FLAGGED - EXISTING CUSTOMER
Manaksia Aluminium,Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
AM/NS India (Plates),Ate India,FLAGGED - EXISTING CUSTOMER
Balaji Wafers,Balaji Wafers Pvt Ltd,FLAGGED - EXISTING CUSTOMER
Sika India,IKEA,FLAGGED - EXISTING CUSTOMER
Freudenberg-NOK,Freudenberg GALA,FLAGGED - EXISTING CUSTOMER
RR Kabel,RR Kabel,FLAGGED - EXISTING CUSTOMER
Phoenix Yule,P,FLAGGED - EXISTING CUSTOMER
Prataap Snacks,P,FLAGGED - EXISTING CUSTOMER
Vardhman Special Steels,Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
INI Farms,Srinivasa Farms,FLAGGED - EXISTING CUSTOMER
Kamdhenu Ltd,Kamdhenu Ltd,FLAGGED - EXISTING CUSTOMER
Clean Science,Clean Science And Technology Ltd.,FLAGGED - EXISTING CUSTOMER
CESC Ltd,CESC Limited,FLAGGED - EXISTING CUSTOMER
Khoday India,KHODAY INDIA LIMITED,FLAGGED - EXISTING CUSTOMER
Jagatjit Industries,Jagatjit Industries,FLAGGED - EXISTING CUSTOMER
SEL Manufacturing,SSF Manufacturing India Pvt Ltd,FLAGGED - EXISTING CUSTOMER
Buildtech,ECH,FLAGGED - EXISTING CUSTOMER
Gujarat Industries Power,P,FLAGGED - EXISTING CUSTOMER
Divis Labs (export),XP India,FLAGGED - EXISTING CUSTOMER
Apar Industries (Cables),P,FLAGGED - EXISTING CUSTOMER
Sudarshan Chemical,Sudarshan Chemical Industries,FLAGGED - EXISTING CUSTOMER
Godrej & Boyce,Godrej,FLAGGED - EXISTING CUSTOMER
JSW Steel (Scrap),P,FLAGGED - EXISTING CUSTOMER
Everest Masala,ASAL,FLAGGED - EXISTING CUSTOMER
Goodyear India (Rubber),Goodyear,FLAGGED - EXISTING CUSTOMER
Kaveri Seeds (Grains),rain,FLAGGED - EXISTING CUSTOMER
JVL Agro (Liberty),Linclimited,FLAGGED - EXISTING CUSTOMER
Furniture Manufacturers,Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
AP State Mineral Dev,Inera,FLAGGED - EXISTING CUSTOMER
Dabur (Foods),Dabur India Ltd,FLAGGED - EXISTING CUSTOMER
MRPL (Refinery),P,FLAGGED - EXISTING CUSTOMER
Goyal MG Gases,Linclimited,FLAGGED - EXISTING CUSTOMER
Hindalco (Captive),HINDALCO INDUSTRIES LTD,FLAGGED - EXISTING CUSTOMER
Plastiblends India,P,FLAGGED - EXISTING CUSTOMER
Motherson Sumi (Wires),Motherson Sumi Systems Limited,FLAGGED - EXISTING CUSTOMER
Cummins India,Valvoline Cummins Ltd,FLAGGED - EXISTING CUSTOMER
Piaggio India,Piaggio Vehicles Pvt. Ltd.,FLAGGED - EXISTING CUSTOMER
John Deere India,John Deere,FLAGGED - EXISTING CUSTOMER
Gokul Agro,Linclimited,FLAGGED - EXISTING CUSTOMER
Gujarat Mineral Corp,Inera,FLAGGED - EXISTING CUSTOMER
MTR Foods (Orkla),Orkla Foods Česko a Slovensko,FLAGGED - EXISTING CUSTOMER
Verka (Punjab),P,FLAGGED - EXISTING CUSTOMER
Eastern Condiments,Eastern,FLAGGED - EXISTING CUSTOMER
SRMB Steel,Shyam Steel Industries Ltd,FLAGGED - EXISTING CUSTOMER
PSL Ltd,P,FLAGGED - EXISTING CUSTOMER
Ratnamani Metals,TN India,FLAGGED - EXISTING CUSTOMER
Hindustan Unilever (Ice),Linclimited,FLAGGED - EXISTING CUSTOMER
Hindalco (Coal),HINDALCO INDUSTRIES LTD,FLAGGED - EXISTING CUSTOMER
Allana Group,Aniqav Group,FLAGGED - EXISTING CUSTOMER
Poly Medicure,Poly Medicure Ltd,FLAGGED - EXISTING CUSTOMER
AM/NS India (Slabs),Linclimited,FLAGGED - EXISTING CUSTOMER
Gujarat Alkalies (GACL),Gujarat Alkalies And Chemical & Pharma Limited,FLAGGED - EXISTING CUSTOMER
Greaves Cotton (Ampere),P,FLAGGED - EXISTING CUSTOMER
Parag Milk Foods,MAHAAN MILK FOODS LIMITED - HATHRAS,FLAGGED - EXISTING CUSTOMER
National Steel (SSC),Linclimited,FLAGGED - EXISTING CUSTOMER
SFCL (State Farms),Ate India,FLAGGED - EXISTING CUSTOMER
Vishal Mega Mart,EGA,FLAGGED - EXISTING CUSTOMER
Rashtriya Ispat Nigam,P,FLAGGED - EXISTING CUSTOMER
Carlsberg India,Linclimited,FLAGGED - EXISTING CUSTOMER
POSCO India,P,FLAGGED - EXISTING CUSTOMER
Mother Dairy (Dhara),air,FLAGGED - EXISTING CUSTOMER
Mylan (Viatris),Linclimited,FLAGGED - EXISTING CUSTOMER
Tata Steel (Scrap),P,FLAGGED - EXISTING CUSTOMER
Schwing Stetter India,Schwing Stetter India Pvt Ltd - Spot Bidding & Vendor Billing,FLAGGED - EXISTING CUSTOMER
National Oxygen,Linclimited,FLAGGED - EXISTING CUSTOMER
Capital Foods,Chatha Foods,FLAGGED - EXISTING CUSTOMER
Kohinoor Foods,Kohinoor Speciality Foods,FLAGGED - EXISTING CUSTOMER
BPCL (Bitumen),P,FLAGGED - EXISTING CUSTOMER
Sarda Energy & Minerals,Inera,FLAGGED - EXISTING CUSTOMER
Pennar Industries,Pennar Industries Limited,FLAGGED - EXISTING CUSTOMER
Hindustan Unilever (Tea),Linclimited,FLAGGED - EXISTING CUSTOMER
Wilmar India,Linclimited,FLAGGED - EXISTING CUSTOMER
Sonalika Tractors,Linclimited,FLAGGED - EXISTING CUSTOMER
Inox Wind,Inox Wind Infrastructure Services Ltd,FLAGGED - EXISTING CUSTOMER
Sunflag Iron,Linclimited,FLAGGED - EXISTING CUSTOMER
Shoe Manufacturers,Automotive Manufacturers Pvt,FLAGGED - EXISTING CUSTOMER
Carborundum Universal,Universal,FLAGGED - EXISTING CUSTOMER
BEML Limited,Linclimited,FLAGGED - EXISTING CUSTOMER
Kalyani Steels,Agni Steels Pvt. Ltd.,FLAGGED - EXISTING CUSTOMER
Tilaknagar Industries,Linclimited,FLAGGED - EXISTING CUSTOMER
Steel Authority (ASP),Steel Authority of India Limited,FLAGGED - EXISTING CUSTOMER
Sunflag Iron & Steel,GHAZIABAD IRON AND STEEL MART,FLAGGED - EXISTING CUSTOMER
Bekaert India (Mukand),Bekaert,FLAGGED - EXISTING CUSTOMER
Volvo CE India,Linclimited,FLAGGED - EXISTING CUSTOMER
Adani Ports,Adani Power Ltd.,FLAGGED - EXISTING CUSTOMER
Sakthi Masala,ASAL,FLAGGED - EXISTING CUSTOMER
Pix Transmissions,P,FLAGGED - EXISTING CUSTOMER
MSP Steel,EMSTEEL,FLAGGED - EXISTING CUSTOMER
Ador Welding,Linclimited,FLAGGED - EXISTING CUSTOMER
Saras (Rajasthan),JAS,FLAGGED - EXISTING CUSTOMER
National Mineral Dev,Inera,FLAGGED - EXISTING CUSTOMER
JLR India,Linclimited,FLAGGED - EXISTING CUSTOMER
Mohan Meakin,AKI,FLAGGED - EXISTING CUSTOMER
Walchandnagar Industries,Linclimited,FLAGGED - EXISTING CUSTOMER
Hira Ferro Alloys,Hira Industries,FLAGGED - EXISTING CUSTOMER
Alstom India,Alstom Projects India Ltd,FLAGGED - EXISTING CUSTOMER
Birla Carbon,India Carbon Limited,FLAGGED - EXISTING CUSTOMER
DS Group (Catch),P,FLAGGED - EXISTING CUSTOMER
Century Rayon (Birla),Linclimited,FLAGGED - EXISTING CUSTOMER
Nuziveedu Seeds,NUZIVEEDU SEEDS LIMITED - SECUNDERABAD,FLAGGED - EXISTING CUSTOMER
TTK Prestige,P,FLAGGED - EXISTING CUSTOMER
Praxair India (Linde),air,FLAGGED - EXISTING CUSTOMER
PPG Asian Paints,P,FLAGGED - EXISTING CUSTOMER
Gates India,Ate India,FLAGGED - EXISTING CUSTOMER
RSMML,Linclimited,FLAGGED - EXISTING CUSTOMER
Hitachi Energy India,Hitachi Energy,FLAGGED - EXISTING CUSTOMER
L&T Heavy Engineering,L&T Technology Services,FLAGGED - EXISTING CUSTOMER
Prashant Ship Breaking,P,FLAGGED - EXISTING CUSTOMER
Marico (Foods),Arrow Foods,FLAGGED - EXISTING CUSTOMER
BASF India (Chemicals),Grand Chemicals,FLAGGED - EXISTING CUSTOMER
Laurus Labs,Laurus Labs Ltd,FLAGGED - EXISTING CUSTOMER
Praj Industries,prajgenx.net,FLAGGED - EXISTING CUSTOMER
Rashmi Metaliks (DI),Rashmi Metaliks,FLAGGED - EXISTING CUSTOMER
Uttam Galva Steels,Linclimited,FLAGGED - EXISTING CUSTOMER
Sarda Mines,Sarda Metals,FLAGGED - EXISTING CUSTOMER
Venky's,Venky's (India) Limited,FLAGGED - EXISTING CUSTOMER
Natco Pharma,NATCO Pharma,FLAGGED - EXISTING CUSTOMER
Rashtriya Chemicals (RCF),Rashtriya Chemicals & Fertilizers Limited,FLAGGED - EXISTING CUSTOMER
SAIL (Wire Rod),Linclimited,FLAGGED - EXISTING CUSTOMER
PG Electroplast,PG Electroplast Ltd,FLAGGED - EXISTING CUSTOMER
Adani Power,Adani Power Ltd.,FLAGGED - EXISTING CUSTOMER
Premier Energies,Premier,FLAGGED - EXISTING CUSTOMER
Wockhardt Ltd,Wockhardt Ltd.,FLAGGED - EXISTING CUSTOMER
Trivitron Healthcare,Hetero Healthcare,FLAGGED - EXISTING CUSTOMER
Asahi India Glass,ASAHI INDIA GLASS LIMITED,FLAGGED - EXISTING CUSTOMER
Escorts Kubota (CE Division),Escorts Limited,FLAGGED - EXISTING CUSTOMER
Bajaj Consumer,BAJAJ CONSUMER CARE LIMITED  - UDAIPUR,FLAGGED - EXISTING CUSTOMER
NHAI (Procurement),P,FLAGGED - EXISTING CUSTOMER
Sahyadri Farms,Sahyadri Industries,FLAGGED - EXISTING CUSTOMER
John Distilleries,Keyaan Distilleries,FLAGGED - EXISTING CUSTOMER
SDLG India,Linclimited,FLAGGED - EXISTING CUSTOMER
Future Supply Chain,DNA Supply Chain Solutions,FLAGGED - EXISTING CUSTOMER
Ammann India,Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
Epigamia (Drums),epigamia,FLAGGED - EXISTING CUSTOMER
Wirtgen India,WIRTGEN INDIA Pvt. Ltd,FLAGGED - EXISTING CUSTOMER
Venator (Kronos),Venator,FLAGGED - EXISTING CUSTOMER
AVT Natural Products,Allied Natural Product,FLAGGED - EXISTING CUSTOMER
Tata Metaliks,Linclimited,FLAGGED - EXISTING CUSTOMER
Gulab Oils,GulabOIls,FLAGGED - EXISTING CUSTOMER
Mosaic India,Mosaic India Pvt Ltd,FLAGGED - EXISTING CUSTOMER
Aether Industries,Aether Industries,FLAGGED - EXISTING CUSTOMER
RPM India,RPM Infotech Consulting Pvt,FLAGGED - EXISTING CUSTOMER
Goodyear India,Goodyear,FLAGGED - EXISTING CUSTOMER
Thomson (SPPL),P,FLAGGED - EXISTING CUSTOMER
Kamachi Industries,Kamachi TMT Re Bars,FLAGGED - EXISTING CUSTOMER
Greenlam Industries,Greenply Industries Limited,FLAGGED - EXISTING CUSTOMER
OM Logistics,Heumen Logistics,FLAGGED - EXISTING CUSTOMER
Udaan,udaan.com,FLAGGED - EXISTING CUSTOMER
AM/NS India (Scrap),P,FLAGGED - EXISTING CUSTOMER
Kaveri Seeds,KAVERISEEDS,FLAGGED - EXISTING CUSTOMER
Epsilon Carbon,SGL Carbon,FLAGGED - EXISTING CUSTOMER
Sagar Soya,Sagar Asia Private Limited,FLAGGED - EXISTING CUSTOMER
Kamineni Steel,Linclimited,FLAGGED - EXISTING CUSTOMER
CNH (New Holland),Linclimited,FLAGGED - EXISTING CUSTOMER
Strides Pharma,Indus Pharma,FLAGGED - EXISTING CUSTOMER
Rathi Steel & Power,BMWIL (Bhushan Power & Steel Limited),FLAGGED - EXISTING CUSTOMER
Sarda Energy,Lunar Energy,FLAGGED - EXISTING CUSTOMER
Rungta Mines,rungtamines.co.in,FLAGGED - EXISTING CUSTOMER
Hitech Plast,ECH,FLAGGED - EXISTING CUSTOMER
Anupam Rasayan,Anupam Rasayan India Ltd,FLAGGED - EXISTING CUSTOMER
Continental Carbon,Continental Carriers of India,FLAGGED - EXISTING CUSTOMER
Air Water India,air,FLAGGED - EXISTING CUSTOMER
Nandini (Private),Karnataka Co-Operative Milk Producers Federation Ltd(Nandini),FLAGGED - EXISTING CUSTOMER
Huntsman India,Hussmann,FLAGGED - EXISTING CUSTOMER
Liberty Shoes,Linclimited,FLAGGED - EXISTING CUSTOMER
Ather Energy,Lunar Energy,FLAGGED - EXISTING CUSTOMER
Sandur Manganese,Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
Pesticides India,P,FLAGGED - EXISTING CUSTOMER
IPL Biologicals,P,FLAGGED - EXISTING CUSTOMER
Insecticides India,Insecticides (India) Limited,FLAGGED - EXISTING CUSTOMER
Elgi Rubber,Elgi Rubber Company Limited,FLAGGED - EXISTING CUSTOMER
Vedanta (Ferro),Vedanta,FLAGGED - EXISTING CUSTOMER
Videocon (VVCL),Videocon Industries Limited,FLAGGED - EXISTING CUSTOMER
Suzuki Motorcycle,Linclimited,FLAGGED - EXISTING CUSTOMER
Ajanta Pharma,TAJ PHARMA,FLAGGED - EXISTING CUSTOMER
Sintex Industries,Sintex-BAPL Ltd,FLAGGED - EXISTING CUSTOMER
