Company,Category,Segment,Sub_Segment,Account_Type,HQ,Key_Locations,Sales_Rs_Cr,Employees,Total_Logistics_Spend_Rs_Cr,Priority,tier0_score,tier0_tier
AB InBev India,FMCG & Consumer,Beverages,Beer,Penetration,Bangalore,"Mysore (KA), Aurangabad (MH), Hyderabad (TS), Rajasthan",5500.0,3000.0,165.0,,70,high_priority
Force Motors,Auto & Engineering,Auto Oem,CV/Utility,Expansion,Pune,"Pune, Pithampur (MP), Chakan",7500.0,4000.0,82.0,,70,high_priority
GSFC Ltd,Chemicals & Petrochemicals,Fertilizers,PSU,Expansion,Vadodara,Vadodara (GJ),9500.0,3800.0,165.0,,70,high_priority
Reliance Retail (Foods),FMCG & Consumer,Food Processing,Retail,Penetration,Mumbai,Pan-India,50000.0,25000.0,240.0,,70,high_priority
Alang Ship Breaking Assn,Steel & Metals,Metal Scrap,Sellers,Penetration,Bhavnagar,Alang (GJ),15000.0,25000.0,225.0,,70,high_priority
Shree Renuka (Wilmar),FMCG & Consumer,Food Grains Staples,Sugar/Agri,Penetration,Mumbai,"Maharashtra, Karnataka",8000.0,5000.0,165.0,,70,high_priority
Serum Institute,FMCG & Consumer,Pharma Healthcare,Vaccines,Penetration,Pune,Pune (MH),18000.0,8000.0,210.0,,70,high_priority
Louis Dreyfus (Oils),FMCG & Consumer,Edible Oils,Trading,Penetration,Geneva,"Kandla (GJ), Kakinada (AP), Mumbai",15000.0,1000.0,295.0,,70,high_priority
Shyam Metalics,Steel & Metals,Steel Coils,Integrated,Expansion,Kolkata,"Sambalpur (OD), Jamuria (WB), Mangalpur (WB)",15000.0,6000.0,66.0,,70,high_priority
Godrej Agrovet,Chemicals & Petrochemicals,Agrochemicals,Diversified,Penetration,Mumbai,"Sachin (GJ), Jammu, Lote (MH)",9500.0,5000.0,208.0,,70,high_priority
Daikin India,FMCG & Consumer,Consumer Durables,AC,Expansion,Gurugram,"Neemrana (RJ), Sricity (AP)",8000.0,3500.0,208.0,,70,high_priority
Shahi Exports,FMCG & Consumer,Textiles Apparel,Garments,Penetration,Delhi,"Bangalore, Faridabad, Chennai, Mysore",6500.0,100000.0,172.0,,70,high_priority
Godrej Appliances,FMCG & Consumer,Consumer Durables,White Goods,Expansion,Mumbai,"Mohali (PB), Shirwal (MH)",6500.0,4000.0,172.0,,70,high_priority
DMart (Staples),FMCG & Consumer,Food Grains Staples,Staples,Penetration,Mumbai,Pan-India,8000.0,5000.0,198.0,,70,high_priority
IOCL (Bitumen),Energy & Fuel,Bitumen,Refinery,Expansion,Delhi,"Mathura, Panipat, Barauni, Haldia, Gujarat, Paradip",12000.0,5000.0,175.0,,70,high_priority
RVNL,Steel & Metals,Steel Railways,Contractor,Penetration,Delhi,Pan-India projects,20000.0,5000.0,190.0,,70,high_priority
Bayer CropScience,Chemicals & Petrochemicals,Agrochemicals,MNC,Expansion,Mumbai,"Himatnagar (GJ), Vapi (GJ)",6500.0,2000.0,190.0,,70,high_priority
Crompton Greaves,FMCG & Consumer,Consumer Durables,Appliances,Penetration,Mumbai,"Baddi (HP), Vadodara (GJ), Goa, Ahmednagar",7500.0,4500.0,190.0,,70,high_priority
Essar Steel (AM/NS),Steel & Metals,Steel Coils,Integrated,Penetration,Mumbai,Hazira (GJ),45000.0,10000.0,158.0,,70,high_priority
Megha Engineering,Auto & Engineering,Project Cargo,EPC,Penetration,Hyderabad,Hyderabad,20000.0,15000.0,165.0,,70,high_priority
Hindustan Urvarak,Chemicals & Petrochemicals,Fertilizers,JV,Penetration,Delhi,"Gorakhpur (UP), Sindri (JH), Barauni (BR)",8000.0,3000.0,147.0,,70,high_priority
Xiaomi India,FMCG & Consumer,Consumer Durables,Electronics,Penetration,Bangalore,Tirupati (AP),25000.0,3000.0,310.0,,70,high_priority
NHSRCL (Bullet),Steel & Metals,Steel Railways,High Speed,Penetration,Mumbai,Mumbai-Ahmedabad,15000.0,1500.0,140.0,,70,high_priority
India Pulses & Grains Assn,FMCG & Consumer,Food Grains Staples,Trading,Penetration,Mumbai,Pan-India (members),50000.0,0.0,800.0,,70,high_priority
ACC Ltd (Mining),Mining & Minerals,Mining Minerals,Limestone,Penetration,Mumbai,Pan-India,7500.0,3000.0,145.0,,70,high_priority
Panasonic India,FMCG & Consumer,Consumer Durables,Multi-category,Penetration,Gurugram,"Jhajjar (HR), Roorkee (UK), Bangalore",5500.0,2500.0,147.0,,70,high_priority
NTPC Ltd,Energy & Fuel,Coal Fuel,Power,Expansion,Delhi,Pan-India,175000.0,20000.0,430.0,,70,high_priority
JSPL (Plates),Steel & Metals,Steel Flats Longs,Integrated,Expansion,Delhi,"Angul (OD), Raigarh (CG), Patratu (JH)",15000.0,5000.0,74.0,,70,high_priority
Rain Industries,Chemicals & Petrochemicals,Specialty Chemicals,Carbon/Chemicals,Penetration,Hyderabad,"Visakhapatnam (AP), Kurnool (AP)",18000.0,4000.0,310.0,,70,high_priority
MRF Ltd,Auto & Engineering,Tyres,Multi,Expansion,Chennai,"Chennai, Puducherry, Goa, Hyderabad, Ankenpally",25000.0,,180.0,,70,high_priority
Afcons Infrastructure,Auto & Engineering,Project Cargo,EPC,Penetration,Mumbai,"Mumbai, Delhi",12000.0,8000.0,155.0,,70,high_priority
Gujarat Fluorochemicals,Chemicals & Petrochemicals,Petrochemicals Polymers,Fluoropolymers,Penetration,Noida,"Dahej (GJ), Ranjitnagar (GJ)",7500.0,2500.0,155.0,,70,high_priority
Titagarh Rail,Steel & Metals,Steel Railways,Coaches,Expansion,Kolkata,"Titagarh (WB), Uttarpara, Latur",4000.0,5000.0,77.0,,65,high_priority
Essel Mining,Mining & Minerals,Industrial Minerals,Iron/Other,Expansion,Delhi,"Odisha, Jharkhand, Karnataka",5000.0,4000.0,92.0,,65,high_priority
Hindustan Foods,FMCG & Consumer,Fmcg Foods Personal Care,Contract Mfg,Penetration,Mumbai,"Baddi, Nashik, Roorkee, Guwahati",2200.0,3500.0,68.0,,65,high_priority
Himadri Speciality,Chemicals & Petrochemicals,Graphite Carbon,Carbon,Expansion,Kolkata,"Mahistikry (WB), Vizag (AP), Korba (CG)",3500.0,2000.0,46.0,,65,high_priority
Nilkamal Ltd,Chemicals & Petrochemicals,Petrochemicals Polymers,Plastics,Penetration,Mumbai,"Sinnar (MH), Hosur (TN), Samba (J&K)",3200.0,4000.0,77.0,,65,high_priority
JCB India Ltd,Auto & Engineering,Construction Mining Equipment,,Expansion,Delhi,,18825.0,6000.0,0.0,,65,high_priority
PepsiCo (Frito-Lay),FMCG & Consumer,Food Processing,Snacks,Expansion,Gurugram,"Kolkata, Pune, Channo (PB), Nelamangala (KA)",8000.0,4000.0,96.0,,65,high_priority
Thermax Ltd,Auto & Engineering,Power Industrial Equipment,,Expansion,Pune,,10389.0,7500.0,0.0,,65,high_priority
CavinKare,FMCG & Consumer,Fmcg Foods Personal Care,Personal Care,Penetration,Chennai,"Chennai (TN), Puducherry, Haridwar",2000.0,4000.0,68.0,,65,high_priority
Agro Tech Foods,FMCG & Consumer,Edible Oils,Premium,Expansion,Secunderabad,"Kashipur (UK), Hyderabad (TS), Nanded",1400.0,1200.0,46.0,,65,high_priority
Gemini Edibles,FMCG & Consumer,Edible Oils,Refining,Expansion,Kakinada,"Kakinada (AP), Krishnapatnam, Mangalore",8000.0,2000.0,98.0,,65,high_priority
Bhushan Steel (Tata),Steel & Metals,Steel Coils,Integrated,Expansion,Kolkata,"Angul (OD), Khopoli (MH)",20000.0,8000.0,91.0,,65,high_priority
BHEL,Auto & Engineering,Power Industrial Equipment,,Expansion,New Delhi,,27350.0,35000.0,0.0,,65,high_priority
Tata Steel Wire Division,Steel & Metals,Steel Wire Products,Wire Rods,Expansion,Jamshedpur,"Jamshedpur (JH), Kalinganagar (OD), Gamharia",3500.0,2000.0,91.0,,65,high_priority
Century Aluminium,Steel & Metals,Non Ferrous Metals,Al Extrusions,Expansion,Silvassa,"Silvassa, Bhiwadi, Bangalore",1200.0,800.0,29.0,,65,high_priority
Tata Steel (Semis),Steel & Metals,Steel Semi Finished,Integrated,Expansion,Mumbai,"Jamshedpur (JH), Kalinganagar (OD)",20000.0,6000.0,91.0,,65,high_priority
Aavin (TN),FMCG & Consumer,Dairy Products,Cooperative,Penetration,Chennai,"Chennai, Madurai, Erode, Salem",12000.0,5000.0,91.0,,65,high_priority
Navin Fluorine,Chemicals & Petrochemicals,Specialty Chemicals,Fluorochemicals,Expansion,Mumbai,"Surat (GJ), Dewas (MP), Dahej",2200.0,1400.0,69.0,,65,high_priority
Neyveli Lignite,Mining & Minerals,Industrial Minerals,Lignite,Penetration,Chennai,"Neyveli (TN), Rajasthan, Gujarat",12000.0,18000.0,92.0,,65,high_priority
MG Motor India,Auto & Engineering,Auto Oem,PV/EV,Expansion,Gurugram,Halol (GJ),8000.0,2500.0,93.0,,65,high_priority
Rallis India (Tata),Chemicals & Petrochemicals,Agrochemicals,Formulations,Expansion,Mumbai,"Lote (MH), Dahej (GJ), Ankleshwar (GJ), Akola",3200.0,2500.0,95.0,,65,high_priority
Yamaha India,Auto & Engineering,Auto Oem,2W,Penetration,Chennai,"Chennai (TN), Surajpur (UP), Faridabad",7000.0,3500.0,70.0,,65,high_priority
Gravita India,Steel & Metals,Metal Scrap,Non-Ferrous,Expansion,Jaipur,"Jaipur (RJ), Chittoor (AP), Ghana, Senegal",3500.0,2000.0,70.0,,65,high_priority
Daimler India (BharatBenz),Auto & Engineering,Auto Oem,CV,Expansion,Chennai,Oragadam (TN),6500.0,3000.0,72.0,,65,high_priority
BMW India,Auto & Engineering,Auto Oem,Premium PV,Penetration,Gurugram,Chennai (TN),15000.0,1500.0,72.0,,65,high_priority
Gravita India,Steel & Metals,Non Ferrous Metals,Recycling,Penetration,Jaipur,"Jaipur (RJ), Mundra (GJ), Chittoor (AP)",3200.0,2000.0,75.0,,65,high_priority
Sandhar Technologies,Steel & Metals,Non Ferrous Metals,Al Die Casting,Penetration,Gurugram,"Gurugram (HR), Pune, Chennai, Bangalore",3200.0,6000.0,68.0,,65,high_priority
Harrisons Malayalam,Chemicals & Petrochemicals,Rubber Latex,Plantation,Expansion,Kochi,"Kerala (Kottayam, Idukki), TN",1200.0,15000.0,28.0,,65,high_priority
Prince Pipes,Chemicals & Petrochemicals,Petrochemicals Polymers,PVC Pipes,Penetration,Mumbai,"Jaipur (RJ), Haridwar (UK), Chennai",3200.0,2500.0,77.0,,65,high_priority
Indian Rare Earths,Mining & Minerals,Mining Minerals,Beach Sand,Penetration,Mumbai,"Kerala (Chavara), TN (Manavalakurichi), Odisha",2000.0,3500.0,48.0,,65,high_priority
SAIL (Rail Mill),Steel & Metals,Steel Railways,Rails,Expansion,Delhi,"Bhilai (CG), Burnpur (WB), ISP (JH)",8000.0,5000.0,95.0,,65,high_priority
BHEL (Rail),Steel & Metals,Steel Railways,Locomotives,Expansion,Delhi,"Haridwar (UK), Jhansi (UP), Bhopal",5000.0,8000.0,98.0,,65,high_priority
Perfetti Van Melle,FMCG & Consumer,Fmcg Foods Personal Care,Confectionery,Penetration,,"Rudrapur (UK), Chennai, Manesar",3000.0,3500.0,94.0,,65,high_priority
Rajasthan State Mines,Mining & Minerals,Industrial Minerals,Multi,Expansion,Jaipur,"Jodhpur, Udaipur, Jaipur",800.0,3000.0,21.0,,65,high_priority
Usha Martin,Steel & Metals,Steel Wire Products,Wire Rope,Expansion,Kolkata,"Ranchi (JH), Hoshiarpur (PB), Silvassa",2200.0,3500.0,69.0,,65,high_priority
Cosmo Films,Chemicals & Petrochemicals,Petrochemicals Polymers,BOPP Films,Penetration,Delhi,"Aurangabad (MH), Waluj (MH), Korea",3500.0,1800.0,77.0,,65,high_priority
Jyothy Labs,FMCG & Consumer,Fmcg Foods Personal Care,Home Care,Penetration,Mumbai,"Baddi (HP), Pithampur (MP), Guwahati",2800.0,4000.0,94.0,,65,high_priority
DSM-Firmenich,FMCG & Consumer,Fmcg Foods Personal Care,Flavors/Fragrances,Penetration,Mumbai,"Thane (MH), Dehradun, Bangalore",3500.0,2000.0,76.0,,65,high_priority
Raipur Re-rollers,Steel & Metals,Steel Semi Finished,Buyers,Expansion,Raipur,Raipur belt (CG),15000.0,8000.0,85.0,,65,high_priority
Rain Industries,Chemicals & Petrochemicals,Graphite Carbon,CPC/Anodes,Expansion,Hyderabad,"Visakhapatnam (AP), Kurnool (AP), Belgium, USA",8000.0,4000.0,91.0,,65,high_priority
Marico (Saffola),FMCG & Consumer,Food Grains Staples,Edible Oil/Oats,Expansion,Mumbai,"Perundurai (TN), Baddi (HP), Kanjikode (KL)",2000.0,1000.0,62.0,,65,high_priority
Gharda Chemicals,Chemicals & Petrochemicals,Agrochemicals,Technicals,Expansion,Mumbai,"Dombivli (MH), Lote (MH), Panoli (GJ)",2000.0,2200.0,65.0,,65,high_priority
Thermax,Auto & Engineering,Project Cargo,Boilers/Chillers,Expansion,Pune,"Pune (MH), Baroda (GJ), Chennai",8000.0,8000.0,87.0,,65,high_priority
Welspun Corp,Steel & Metals,Steel Coils,Pipes/Coils,Penetration,Mumbai,"Anjar (GJ), Mandya (KA), Bhopal (MP)",12000.0,4500.0,58.0,,65,high_priority
Essar Steel (AM/NS),Steel & Metals,Steel Flats Longs,Integrated,Expansion,Mumbai,Hazira (GJ),12000.0,3500.0,58.0,,65,high_priority
V-Guard Industries,Auto & Engineering,Wires Cables,Building,Expansion,Kochi,"Coimbatore (TN), Kashipur (UK), Sikkim",5500.0,2500.0,82.0,,65,high_priority
Gokaldas Exports,FMCG & Consumer,Textiles Apparel,Garments,Expansion,Bangalore,"Bangalore (KA), Hassan (KA), Mysore (KA), Chennai",2500.0,50000.0,86.0,,65,high_priority
Dabur (Real Juice),FMCG & Consumer,Beverages,Juices,Expansion,Delhi,"Baddi (HP), Haridwar (UK), Silvassa",2000.0,1200.0,65.0,,65,high_priority
Sudarshan Chemical,Chemicals & Petrochemicals,Paints Coatings,Pigments,Penetration,Pune,"Roha (MH), Mahad (MH), Europe",2800.0,2500.0,86.0,,65,high_priority
AM/NS India (Plates),Steel & Metals,Steel Flats Longs,Integrated,Expansion,Mumbai,Hazira (GJ),18000.0,5000.0,83.0,,65,high_priority
Sudarshan Chemical,Chemicals & Petrochemicals,Specialty Chemicals,Pigments,Expansion,Pune,"Roha (MH), Mahad (MH), Europe, Mexico",2800.0,2500.0,86.0,,65,high_priority
Balaji Wafers,FMCG & Consumer,Food Processing,Snacks,Expansion,Rajkot,"Rajkot (GJ), Valsad, Indore, Raipur",4000.0,2500.0,64.0,,65,high_priority
Sika India,Chemicals & Petrochemicals,Paints Coatings,Construction,Penetration,Mumbai,"Khopoli (MH), Kalol (GJ), Hosur (TN), Baddi",2800.0,1500.0,86.0,,65,high_priority
Shyam Metalics,Steel & Metals,Steel Semi Finished,Integrated,Expansion,Kolkata,"Sambalpur (OD), Jamuria (WB), Mangalpur (WB)",8000.0,4000.0,58.0,,65,high_priority
Jindal Stainless (Flats),Steel & Metals,Steel Flats Longs,Stainless,Expansion,Delhi,"Jajpur (OD), Hisar (HR)",12000.0,4000.0,58.0,,65,high_priority
Manaksia Aluminium,Steel & Metals,Non Ferrous Metals,Al Downstream,Penetration,Kolkata,"Jharsuguda (OD), Kolkata, Pune",2800.0,1500.0,61.0,,65,high_priority
Bikaji Foods,FMCG & Consumer,Fmcg Foods Personal Care,Snacks,Penetration,Bikaner,"Bikaner (RJ), Guwahati, Kolkata, Karnal",2500.0,6000.0,85.0,,65,high_priority
Mold-Tek Packaging,Chemicals & Petrochemicals,Petrochemicals Polymers,Packaging,Penetration,Hyderabad,"Hyderabad (TS), Vizag, Daman",900.0,1200.0,24.0,,65,high_priority
Gujarat Mineral Development,Mining & Minerals,Industrial Minerals,Multi,Expansion,Gandhinagar,"Kutch, Porbandar, Surendranagar",600.0,1200.0,23.0,,65,high_priority
Hatsun Agro,FMCG & Consumer,Dairy Products,South,Expansion,Chennai,"Chennai (TN), Madurai, Belgaum (KA), Hyderabad",8500.0,4000.0,83.0,,65,high_priority
Precision Wires,Steel & Metals,Non Ferrous Metals,Cu Wires,Penetration,Mumbai,"Vasai (MH), Silvassa, Nashik",2800.0,1200.0,61.0,,65,high_priority
Novelis India,Steel & Metals,Non Ferrous Metals,Al Rolling,Expansion,Atlanta,Hirakud (OD),3500.0,1200.0,83.0,,65,high_priority
Bikaji Foods,FMCG & Consumer,Food Grains Staples,Snacks/Staples,Penetration,Bikaner,"Bikaner (RJ), Guwahati, Kolkata, Karnal",2500.0,6000.0,83.0,,65,high_priority
Dhanuka Agritech,Chemicals & Petrochemicals,Agrochemicals,Formulations,Expansion,Delhi,"Udaipur (RJ), Sanand (GJ), Keshwana (RJ)",1900.0,1500.0,61.0,,65,high_priority
Haldiram's,FMCG & Consumer,Dairy Products,Sweets,Penetration,Nagpur,"Nagpur, Delhi, Kolkata, Chennai, Mumbai",8000.0,5000.0,60.0,,65,high_priority
CEAT Specialty,Chemicals & Petrochemicals,Rubber Latex,Industrial,Expansion,Mumbai,"Nagpur (MH), Nashik, Halol",3000.0,2500.0,58.0,,65,high_priority
Meghmani Organics,Chemicals & Petrochemicals,Agrochemicals,Pigments/Agro,Expansion,Ahmedabad,"Dahej (GJ), Ankleshwar (GJ), Panoli",2600.0,3000.0,82.0,,65,high_priority
Godrej & Boyce,Auto & Engineering,Power Industrial Equipment,,Expansion,Mumbai,,16500.0,12000.0,0.0,,65,high_priority
JSW Steel (Scrap),Steel & Metals,Metal Scrap,Buyer,Expansion,Mumbai,"Dolvi (MH), Vijayanagar (KA), Salem (TN)",4000.0,1200.0,78.0,,65,high_priority
Apar Industries (Cables),Auto & Engineering,Wires Cables,Conductor,Expansion,Mumbai,"Umbergaon (GJ), Jharsuguda (OD), Silvassa",3500.0,2000.0,66.0,,65,high_priority
IMFA (Indian Metals),Steel & Metals,Ferro Alloys,Ferro Chrome,Expansion,Bhubaneswar,"Choudwar (OD), Therubali, Bamnipal",2500.0,3500.0,66.0,,65,high_priority
Kamdhenu Ltd,Steel & Metals,Steel Structural,TMT Branding,Expansion,Delhi,"Bhiwadi (RJ), Chopanki (RJ), Gandhidham (GJ), Vizag",8000.0,2000.0,66.0,,65,high_priority
Jindal Aluminium,Steel & Metals,Non Ferrous Metals,Al Extrusions,Expansion,Bangalore,Bangalore (KA),4500.0,2500.0,100.0,,65,high_priority
Sterlite Technologies,Auto & Engineering,Wires Cables,Fiber,Expansion,Pune,"Aurangabad (MH), Silvassa, Haridwar",6500.0,4000.0,91.0,,65,high_priority
Prataap Snacks,FMCG & Consumer,Fmcg Foods Personal Care,Snacks,Penetration,Indore,"Indore (MP), Jammu, Kolkata, Guwahati",1800.0,3500.0,60.0,,65,high_priority
Tata Steel (Tubes),Steel & Metals,Steel Pipes Tubes,Precision,Expansion,Mumbai,"Jamshedpur (JH), Dewas (MP), Pune (MH), Khopoli (MH)",8000.0,3000.0,91.0,,65,high_priority
RR Kabel,Auto & Engineering,Wires Cables,Building,Expansion,Mumbai,"Waghodia (GJ), Silvassa, Rajpur (HP), Baddi",6000.0,3500.0,91.0,,65,high_priority
Britannia (Dairy),FMCG & Consumer,Dairy Products,Value-Added,Expansion,Bangalore,"Ranjangaon (MH), Khurda (OD), Bidadi (KA)",4500.0,1500.0,51.0,,65,high_priority
DCM Shriram (Agri),FMCG & Consumer,Food Grains Staples,Seeds/Agri,Penetration,Delhi,"Kota (RJ), Hyderabad, Delhi",3000.0,2000.0,91.0,,65,high_priority
Indo Rama Synthetics,Chemicals & Petrochemicals,Synthetic Fibres,Polyester,Expansion,Gurugram,"Butibori (MH), Pithampur (MP), Gujarat",6000.0,5000.0,91.0,,65,high_priority
Surya Roshni (Pipes),Steel & Metals,Steel Pipes Tubes,ERW,Expansion,Delhi,"Malanpur (MP), Kashipur (UK), Bahadurgarh (HR), Anjar (GJ)",6500.0,3000.0,79.0,,65,high_priority
Big Basket (Private Label),FMCG & Consumer,Food Grains Staples,Staples,Penetration,Bangalore,"Bangalore, Delhi, Mumbai",2000.0,3000.0,65.0,,65,high_priority
MDH Spices,FMCG & Consumer,Food Grains Staples,Spices,Penetration,Delhi,"Delhi, Gurgaon, Nagpur, Dubai",2500.0,4000.0,79.0,,65,high_priority
Graphite India Ltd,Chemicals & Petrochemicals,Graphite Carbon,Electrodes,Expansion,Kolkata,"Durgapur (WB), Nashik (MH), Bangalore",5500.0,3500.0,66.0,,65,high_priority
DCW Ltd,Chemicals & Petrochemicals,Petrochemicals Polymers,PVC,Expansion,Chennai,Sahupuram (TN),2200.0,1500.0,53.0,,65,high_priority
Shyam Steel,Steel & Metals,Steel Structural,Secondary,Expansion,Kolkata,"Durgapur (WB), Jamuria (WB), Sambalpur (OD)",6000.0,3500.0,53.0,,65,high_priority
Finolex Cables,Auto & Engineering,Wires Cables,Multi,Expansion,Pune,"Pune (MH), Goa, Roorkee",5000.0,3000.0,79.0,,65,high_priority
Rockman Industries,Steel & Metals,Non Ferrous Metals,Al Die Casting,Penetration,Ludhiana,"Bhiwadi (RJ), Manesar (HR), Chennai",3500.0,4000.0,80.0,,65,high_priority
Phoenix Yule,Chemicals & Petrochemicals,Rubber Latex,Industrial,Expansion,Kolkata,"Kolkata (WB), Durgapur, Chennai",600.0,1200.0,23.0,,65,high_priority
Air Liquide India,Chemicals & Petrochemicals,Industrial Gases,Full Range,Expansion,Chennai,"Gujarat, Tamil Nadu, Maharashtra, Karnataka",2000.0,1500.0,65.0,,65,high_priority
Amazon India,E-commerce & Retail,Ecommerce Retail,E-commerce,Expansion,Bangalore,"Delhi, Mumbai, Bangalore, Hyderabad, Chennai, Kolkata",90000.0,35000.0,65.0,,65,high_priority
Deepak Nitrite,Chemicals & Petrochemicals,Acids Solvents,Specialty,Expansion,Vadodara,"Nandesari (GJ), Dahej, Roha (MH)",8500.0,3000.0,81.0,,65,high_priority
Nestle India (Dairy),FMCG & Consumer,Dairy Products,Value-Added,Expansion,Gurugram,"Moga (PB), Samalkha (HR), Tahliwal (HP), Pantnagar (UK)",8000.0,3000.0,81.0,,65,high_priority
Dalmia Bharat (Mining),Mining & Minerals,Mining Minerals,Limestone,Penetration,Delhi,"Tamil Nadu, Karnataka, Odisha",5000.0,2000.0,98.0,,65,high_priority
Emami Agrotech,FMCG & Consumer,Edible Oils,Refining,Expansion,Kolkata,"Haldia (WB), Jaipur (RJ), Krishnapatnam",5000.0,1500.0,73.0,,65,high_priority
Suguna Foods,Agriculture & Food,Animal Feed,Poultry,Expansion,Coimbatore,"Coimbatore (TN), Hyderabad, Udumalpet, Bangalore",12000.0,25000.0,130.0,,65,high_priority
Sharda Cropchem,Chemicals & Petrochemicals,Agrochemicals,Trading/Contract,Expansion,Mumbai,"Vapi (GJ), Panoli (GJ)",3800.0,600.0,112.0,,65,high_priority
DMRC (Procurement),Steel & Metals,Steel Railways,Metro,Penetration,Delhi,Delhi projects,10000.0,5000.0,105.0,,65,high_priority
Olam Agri (Oils),FMCG & Consumer,Edible Oils,Trading,Penetration,Singapore,"Cochin (KL), Vizag (AP), Mumbai",8000.0,1000.0,165.0,,65,high_priority
Vestas India,Auto & Engineering,Project Cargo,Wind,Penetration,Denmark,Chennai (TN),4000.0,3000.0,107.0,,65,high_priority
Indo Count Industries,FMCG & Consumer,Textiles Apparel,Home Textiles,Penetration,Mumbai,"Kolhapur (MH), Kagal (MH)",4500.0,15000.0,129.0,,65,high_priority
Henkel India,Chemicals & Petrochemicals,Adhesives Sealants,Multi,Expansion,Mumbai,"Thane (MH), Pune, Chennai",2500.0,1500.0,41.0,,65,high_priority
Adani Enterprises (Coal),Energy & Fuel,Coal Fuel,Trading,Expansion,Ahmedabad,"Mundra, Dhamra ports",80000.0,10000.0,225.0,,65,high_priority
BASF Agri (India),Chemicals & Petrochemicals,Agrochemicals,MNC,Penetration,Mumbai,"Thane (MH), Mangalore (KA)",3500.0,1200.0,107.0,,65,high_priority
Gujarat Fluorochemicals,Chemicals & Petrochemicals,Specialty Chemicals,Fluoropolymers,Penetration,Noida,"Dahej (GJ), Ranjitnagar (GJ)",8000.0,2800.0,208.0,,65,high_priority
Balaji Amines,Chemicals & Petrochemicals,Acids Solvents,Amines,Expansion,Solapur,"Solapur (MH), Tamalwadi, Chincholi",2500.0,1200.0,33.0,,65,high_priority
Adani Green,Auto & Engineering,Project Cargo,Solar/Wind,Penetration,Ahmedabad,Pan-India,8000.0,5000.0,125.0,,65,high_priority
Apollo Tyres,Auto & Engineering,Tyres,Multi,Expansion,Gurugram,"Vadodara (GJ), Chennai, Kerala, Netherlands",22000.0,,160.0,,65,high_priority
Carrier Midea,FMCG & Consumer,Consumer Durables,AC,Penetration,Gurugram,"Bawal (HR), Supa (MH)",4500.0,2000.0,121.0,,65,high_priority
Dodla Dairy,FMCG & Consumer,Dairy Products,South,Expansion,Hyderabad,"Hyderabad, Nellore, Mysore, Kenya",3000.0,2000.0,36.0,,65,high_priority
Divis Labs (export),FMCG & Consumer,Pharma Healthcare,API Export,Penetration,Hyderabad,"Vizag (AP), Kakinada (AP)",9500.0,16000.0,112.0,,65,high_priority
Essar Oil (Nayara),Energy & Fuel,Oil Gas Services,Refining,Expansion,Mumbai,Vadinar (GJ),100000.0,3000.0,105.0,,65,high_priority
Bikaji Foods,FMCG & Consumer,Food Processing,Snacks,Expansion,Bikaner,"Bikaner (RJ), Noida (UP), Karnal (HR)",2500.0,2000.0,44.0,,65,high_priority
Heritage Foods,FMCG & Consumer,Dairy Products,South,Expansion,Hyderabad,"Hyderabad, Bangalore, Chennai, Delhi",3500.0,2500.0,41.0,,65,high_priority
IOCL (Lubes),Energy & Fuel,Lubricants,Multi,Expansion,Delhi,"Pan-India (Mumbai, Kolkata, Chennai, Delhi)",12000.0,3000.0,165.0,,65,high_priority
Kalamboli Scrap Market,Steel & Metals,Metal Scrap,Traders,Penetration,Mumbai,Navi Mumbai,5000.0,6000.0,115.0,,65,high_priority
MOIL Ltd,Mining & Minerals,Mining Minerals,Manganese,Expansion,Nagpur,"Nagpur (MH), Balaghat (MP)",1800.0,5500.0,43.0,,65,high_priority
JSW Steel (Coal),Energy & Fuel,Coal Fuel,Steel,Expansion,Mumbai,"Karnataka, Maharashtra, Tamil Nadu",35000.0,5000.0,168.0,,65,high_priority
Haier India,FMCG & Consumer,Consumer Durables,White Goods,Penetration,Greater Noida,"Greater Noida (UP), Pune (MH)",6000.0,3500.0,165.0,,65,high_priority
Maan Aluminium,Steel & Metals,Non Ferrous Metals,Al Extrusions,Expansion,Bhiwadi,"Bhiwadi (RJ), Haridwar (UK)",1800.0,1500.0,42.0,,65,high_priority
Tata Consumer Products,Agriculture & Food,Tea Plantation,Tea/Coffee,Expansion,Mumbai,"Assam, Bengal, TN, Karnataka",15000.0,8000.0,165.0,,65,high_priority
Mayapuri Scrap Market,Steel & Metals,Metal Scrap,Traders,Penetration,Delhi,Delhi,8000.0,10000.0,165.0,,65,high_priority
GHCL Ltd,Chemicals & Petrochemicals,Specialty Chemicals,Soda Ash,Penetration,Noida,"Sutrapada (GJ), Chennai",4500.0,2200.0,120.0,,65,high_priority
Paradeep Phosphates,Chemicals & Petrochemicals,Fertilizers,Private,Penetration,Bhubaneswar,Paradeep (OD),9000.0,1500.0,165.0,,65,high_priority
Cremica,FMCG & Consumer,Fmcg Foods Personal Care,Sauces/Foods,Penetration,Ludhiana,"Ludhiana (PB), Baddi (HP), Noida",1200.0,2500.0,42.0,,65,high_priority
Nava Bharat Ventures,Steel & Metals,Ferro Alloys,Silico Mn,Expansion,Hyderabad,"Paloncha (TS), Odisha, Chhattisgarh",3000.0,2500.0,73.0,,65,high_priority
Indian Potash Ltd,Mining & Minerals,Industrial Minerals,Potash,Expansion,Chennai,"Chennai, Haldia, Kandla ()",8000.0,500.0,165.0,,65,high_priority
